peak-aif,Scan Nr,retention,Mass(uD),retentionMean,Qe05965,Qe05948,Qe05949,Qe05950,Qe05951,Qe05952,Qe05953,Qe05954,Qe05955,Qe05956,Qe05957,Qe05958,Qe05959,Qe05960,Qe05961,Qe05962,Qe05963,Qe05964,Qe05966,Qe05967,Qe05968,Qe05969,Qe05970,Qe05971,Qe05972,Qe05973,clusterId1,membership1
2649,1069,5973379,103003502,5935326,5089.45,5479.78,47630,39314,4664.45,55253,18432,11770,5426.44,10423,54524,54998,16063,4731.8,14590,19788,33736,42510,54607,4591.09,5404.05,42639,12248,66827,40824,53574,,
2650,1069,5973379,131069351,5911036,4520.18,5321.02,5422.19,5392.77,4702.85,5136.37,5385.75,4809.23,5237.2,5423.6,5425.82,5339.67,4573.23,4783.16,5160.03,11066,5114.69,10646,4891.32,12704,11047,5406.07,4878.27,4531.5,5345.81,5180.91,,
2651,1072,5990339,261040375,5864555,4733.4,5316.85,10050,11022,4888.59,4677.63,5369.76,4798.12,4873.48,4994.5,4535.27,12318,17254,4684.85,5265.47,4867.98,13751,14137,4975.04,4535.68,5268.87,5292.04,4920.84,5279.09,4862.61,4710.6,,
2652,1072,5990339,353087311,6009966,271216,4701.97,5133.49,4639.96,4642.77,4705.18,5377.13,123694,77366,5183.7,227134,142607,5084.18,4706.01,4566.71,4753.1,82905,4862.51,163873,5265.01,5239.7,4803.99,4661.45,1209586,1046544,4775.49,,
2653,1072,5990339,407006042,5387362,14399,5447.77,5123.67,4724.19,4949.01,5027.28,4988.61,4697.44,5204.56,5171.63,4594.09,4861.27,5207.18,4979.29,11768,4787.53,4788.81,5123.99,5245.83,4738.7,5136.16,4761.2,32585,5160.69,5332.96,22584,,
2654,1073,5996047,94037567,5567993,5440.37,4651.55,15687,10259,4707.43,14113,4938.71,10583,10275,4969.78,5499.1,5374.39,4915.18,10202,14513,11866,5444.39,14013,16876,16169,5404.57,10573,20115,50004,23213,5475.27,,
2655,1074,6001682,140050385,5697209,4997.39,11953,11393,4896.62,4599.04,5100.98,5244.01,4986.71,4728.44,4758.93,4762.59,5265.22,4846.92,5493.83,5240.03,4920.19,4980.01,12665,4745.77,17723,11462,5446.42,5303.26,4522.82,4856.77,5000.61,,
2656,1077,6022370,110024620,5710353,5344.96,5415.35,17257,5298.62,5411.98,18304,4872.23,5208.42,4598.99,5130.88,4828.75,16224,4750.37,5433.79,4795.73,4815.91,4764.78,18423,5096.9,24835,5192.5,5286.32,5222.86,4943.5,4840.17,5319.29,172,1.0
2657,1077,6022370,376071808,6071454,13531,4912.38,5085.63,5140.87,18151,19629,5023.97,17775,4772.83,5128.84,4505.31,22110,4685.09,20243,19294,20657,5298.82,5433.77,20997,17576,16911,4949.69,5133.04,90084,15158,27268,,
2658,1078,6027981,107050125,6039326,5278.54,5121.26,4740.01,14271,4833.12,72373,4795.78,5044.48,5252.93,48085,35207,59358,4956.1,58984,4667.05,53610,37745,37666,4791.35,57595,5360.49,48891,5060.05,5037.51,5378.43,5190.73,,
2659,1078,6027981,129058151,5870614,5451.39,12241,4716.45,5162.39,5129.34,5326.97,4662.25,5364.46,4782.76,5390.03,4610.45,11071,5475.53,4995.97,5324.72,4872.74,5489.77,4750.14,20171,11360,4861.33,10168,4982.42,4737.24,4745.44,5131.89,172,1.0
2660,1078,6027981,159092545,5958881,107414,132073,105055,113164,119831,105116,104106,89346,108162,107799,106205,121932,78754,96093,120151,120652,89854,104314,157945,133954,100138,106428,60953,76329,55816,112781,172,0.977425082597
2661,1078,6027981,224952438,5951452,4823.39,12343,4599.19,13378,10997,11005,4567.24,4805.51,4722.11,10567,4713.93,4611.79,5097.18,4699.01,5254.47,11079,5334.16,5113.17,4847.15,5291.54,4638.24,4699.41,5036.57,4755.01,5433.13,5249.53,172,1.0
2662,1079,6033607,116050499,5956921,1940768,2215294,1884481,1974176,1980987,1784129,1787659,1612736,1767209,1848186,1874750,2058159,1442196,1717662,2129435,2093163,1658803,1883307,2542123,2312888,1873148,1926932,1242336,1490239,1115584,1963766,173,1.0
2663,1079,6033607,225064529,5965918,92014,102287,104892,110985,99473,98231,96013,94335,89764,98902,97811,106951,92458,98475,115014,110518,104905,106655,123812,118836,109005,106412,43428,41529,39807,101805,173,1.0
2664,1080,6039222,117053795,5955865,164900,196262,164658,182703,174531,156161,156498,138574,153216,160207,171663,181623,127725,155765,188146,182311,151190,167136,224960,203426,168752,169349,110947,132152,96494,170016,173,0.831486448782
2665,1080,6039222,130066132,5961930,143374,158045,145520,153978,146151,133910,135515,129117,135927,142217,143801,156491,120921,132990,161824,159205,134096,149647,177959,172259,150489,148441,81118,104364,78515,149040,173,0.864206634184
2666,1080,6039222,171029755,5939654,5375.94,4809.75,4948.22,4856.8,16735,4833.3,5376.54,4769.15,4902.47,4584.99,4874.37,5098.01,5096.38,4827.06,4901.92,5324.97,16114,4639.81,5122.05,4824.4,5037.7,4985.62,64026,5216.23,5307.99,12542,173,0.837490782621
2667,1081,6044847,142066010,5957341,422784,476052,415551,438967,441314,382222,395736,345870,381620,408656,409762,442073,316284,372681,467146,449549,358489,402641,555892,504753,397475,415836,270040,320352,245488,422489,173,0.8085841823
2668,1081,6044847,180038254,6087388,179730,104654,72821,4599.89,72608,76913,102954,73438,5195.15,4659.49,162094,101188,63181,4528.8,4994.08,4560.24,5127.02,90138,91486,75773,65188,4533.29,394918,396336,412683,117316,173,0.860801501161
2669,1083,6056137,143069672,5939319,49125,52181,33779,47035,48487,42827,43751,39964,43553,41901,45499,48964,34634,41675,51680,48375,36697,42388,58370,45220,42277,44805,4913.18,30389,26087,48876,173,1.0
2670,1083,6056137,203082504,5960136,430021,522833,422237,436704,500981,395851,428988,334344,436805,417155,419332,486755,302646,389042,471778,497927,250307,417635,667681,557445,409383,446459,212472,356356,249241,448422,173,1.0
2671,1083,6056137,204085876,5953162,51973,66997,51931,54599,58231,46305,53468,33100,53702,50278,51857,63207,38133,46166,58174,58768,42399,50334,87370,65926,48712,51862,19524,38499,28777,54970,173,1.0
2672,1086,6073087,383206573,6018140,5202.89,5291.86,5222.01,5003.31,4865.1,5078.66,67621,5291.3,4524.92,5034.38,4713.27,4677.58,4834.59,5186.76,4921.63,5372.53,5245.01,4500.31,5446.16,5347.09,4675.34,4742.37,20031,23206,4588.13,4600.17,,
2673,1087,6078763,159970703,5954175,5044.14,4602.25,5327.33,4670.14,5311.35,5152.94,5396.13,5096.57,4803.53,5300.32,5308.36,10136,5073.4,4994.58,4933.34,5292.81,12718,5392.12,13139,11672,12268,5360.26,4580.16,5232.91,4645.32,5322.94,,
2674,1088,6084410,127039993,6019108,109157,68758,5260.1,69150,51223,5430.11,54124,4597.07,4627.37,28517,73493,53068,5439.7,56156,5103.48,67238,40777,75888,4540.78,4607.44,4800.87,5391.15,201237,336991,224783,76061,,
2675,1088,6084410,259016663,5959853,21151,35131,19916,22513,18705,24455,22620,17941,5418.55,16673,20880,19615,19836,15457,21867,18647,18916,17694,20142,27428,22560,17907,4584.57,5144.42,4932.59,21153,,
2676,1088,6084410,429152618,5938068,22669,27217,30576,33663,27459,21275,24626,26076,24480,4703.47,21961,23178,25359,25222,32130,30008,29181,28333,31441,33808,32224,27169,5483.88,5298.58,5194.7,26813,,
2677,1091,6101258,151040039,6065269,4873.29,4952.9,4918.01,5136.57,5212.85,5051.9,5118.58,4865.1,4969.41,18948,5308.04,16472,5007.89,5047.36,4973.46,5294.45,5453.37,4642.6,15031,5292.26,5311.79,4598.57,5149.64,55927,5264.45,4854.19,,
2678,1093,6112576,94029419,6071634,4712.68,12478,15660,4745.34,14433,13902,13908,4667.87,4810.95,13861,14590,4598.05,4762.32,16126,4537.45,10366,4737.13,4984.14,4579.22,17520,4856.24,4668.65,5386.36,28720,12578,20948,,
2679,1093,6112576,96008759,5537105,4807.36,5206.25,33047,4647.7,4509.01,4643.17,5280.28,5145.55,5410.66,4957.87,5295.59,4747.58,4768.19,4813.33,4576.86,4898.12,5477.29,5472.84,4954.96,38883,4694.76,5028.07,5361.12,4869.26,5116.36,13701,,
2680,1094,6118279,157076935,5960264,20609,22489,22233,19938,23370,18217,26595,25426,19501,20057,24770,28894,20657,19035,18978,22053,17121,5109.97,28597,34311,21967,26923,11458,12369,5225.42,26590,,
2681,1096,6129620,191056000,6096198,3445433,2057133,2011705,4569.71,4721.58,4832.91,4704.21,1779279,1513021,4819.78,5390.27,5342.3,5047.31,5152.96,4865.81,4893.72,1489647,4881.29,2184651,1895063,5049.5,5075.37,8783767,10279399,4933.64,2759992,,
2682,1099,6146727,164071640,6225057,4984.28,5357.39,4839.86,5210.02,20024,5336.21,4669.4,5239.31,25365,21702,4649.3,4756.88,4948.5,5004.82,5170.06,10510,5361.93,4620.43,29665,19796,4978.73,21600,4576.58,5427.01,4783.48,5216.22,,
2683,1099,6146727,391041931,6216396,34816,20917,12724,4783.88,4685.73,14717,4729.79,4762.28,4551.63,4893.87,5107.68,20918,5424.25,15998,18435,5429.81,5344.53,15403,22285,5304.2,18408,5482.84,84079,76214,62767,5366.41,,
2684,1100,6149593,317034149,5943382,15918,15890,12275,19119,19432,16907,4643.47,15234,20024,17417,20646,24386,15850,20607,26875,25862,21201,17038,31945,21725,21766,17193,5279.06,4915.8,5236.5,21930,,
2685,1101,6152400,216990967,6197555,10166,20515,4946.66,14570,4687.8,5420.24,16319,5094.45,4569.82,10972,4778.09,5114.72,5252.54,4667.04,4724.39,5469.99,5377.58,5004.22,4708.93,4535.82,5294.36,14949,52143,76140,45353,21639,,
2686,1102,6158172,186056000,5937683,20422,26656,25448,25232,20034,22440,21833,19100,24257,23792,24548,24614,18286,11911,26759,26219,20188,23677,29454,28999,22350,25014,5410.08,4964.68,4629.03,24963,,
2687,1103,6163948,160917633,6076967,40885,4699.24,4718.36,5241.05,14532,48326,5006.62,4655.96,5248.77,4795.8,5483.97,5115.63,5104.03,5416.41,4769.1,16653,4869.29,4776.55,5320.57,5089.01,5197.01,5202.25,5424.54,5486.97,4519.3,4526.95,,
2688,1103,6163948,467039734,5585271,4505.19,5191.15,13233,10301,5372.55,12648,5111.95,5429.62,5007.95,5140.86,4984.4,4812.18,4674.46,4718.09,4603.01,10791,5373.11,22416,5317.34,16638,11557,11243,4777.74,4927.06,13285,4683.85,,
2689,1103,6163948,467040314,6634767,34178,12816,18483,4774.5,15114,5483.88,19620,19692,15345,4837.03,26150,19800,5380.62,19206,22922,5179.39,4935.52,19942,19730,18870,5009.06,5312.45,62987,62110,20896,39371,,
2690,1104,6169678,149024399,6098241,4694.95,4961.7,5139.82,4622.09,14934,5372.78,4827.37,5050.32,5459.76,5208.56,4932.6,4657.64,5110.1,4848.13,5169.94,10132,5183.75,5031.27,5225.5,4534.35,5417.27,5174.09,16611,4786.06,4743.54,4733.83,,
2691,1108,6194633,91018478,5652780,4571.73,4687.91,4742.45,4604.74,4966.69,5230.2,5335.04,5471.69,4513.23,14998,4983.92,5130.81,4670.67,4853.97,5083.83,4733.65,4723.42,11191,11408,5352.5,5133.76,4582.25,5265.73,20491,5363.28,16437,,
2692,1110,6206167,123045067,6073960,17686,13235,14638,4752.38,5437.87,5493.2,12523,12835,4975.61,11612,4815.87,24733,4575.55,5436.4,16027,4544.31,5219.28,15728,35079,22628,10489,5144.34,36141,85050,32182,5242.87,,
2693,1110,6206167,171029877,6149272,5487.28,5183.21,16615,19647,21036,18673,5375.91,21575,5162.37,4760.56,31482,5396.34,13325,4869.94,5461.66,5412.01,17143,20607,19702,4889.78,21906,5051.25,32614,94400,55718,5073.69,,
2694,1114,6229322,111019974,5610855,5170.14,4967.41,16171,4508.71,4640.21,4758.19,4530.92,5117.06,4706.54,4553.82,5118.83,16968,4732.24,4521.97,4771.15,4865.35,4716.36,4730.27,4862.34,17811,4523.7,4852.62,4977.14,5025.99,5418.52,20756,,
2695,1116,6240873,97040352,6043225,4666.3,5349.57,13350,4860.54,5100.58,4603.4,12890,4577.33,5024.65,5472.06,5252.61,5213.82,5141.74,4637.07,4924.71,4773.02,5222.23,4570.94,5060.96,14011,4929.42,4872.94,5408.95,4982.99,4707.41,16349,176,1.0
2696,1116,6240873,241037796,5964625,4672.67,15986,5023.36,14607,10928,14371,13779,4556.91,10645,5437.64,5189.72,17585,11327,4683.97,17184,16174,12810,12149,12834,21002,13887,15348,4838.43,4676.92,5175.66,11773,176,1.0
2697,1117,6246639,148954666,6183794,27945,4547.13,23846,5151.06,10986,31120,27908,28543,14705,27868,5169.24,30013,11141,32687,5074.72,14775,4634.21,29346,37087,34711,35045,10193,29202,27627,24486,32360,,
2698,1117,6246639,191021332,6392699,4647.6,5148.08,5466.92,5240.89,5046.18,5406.74,4648.35,5274.57,4976.67,17867,4876.2,5307.43,4819.68,13067,5354.03,15774,5289.24,4550.55,4793.59,4833.53,11025,4851.64,4705.02,4947.48,5225.83,5244.08,176,1.0
2699,1119,6262239,193060623,6310314,4711.66,4824.12,5137.61,4800.33,18850,34690,5263.77,5420.58,5064.78,5436.09,41343,4850.93,5127.76,21075,5441.87,5055.24,5072.48,4571.64,4918.11,5241.69,5420.55,5074.11,5431.56,5040.95,95352,5464.15,176,1.0
2700,1120,6268043,144945435,6160947,17321,4765.42,5235.88,5431.17,5119.47,16679,4581.82,4917.86,4773.82,18191,17690,17674,5465.42,5272.63,5465.35,4904.93,5446.35,4721.04,5126.46,5378.59,4863.23,5403.44,4529.86,4577.34,11773,19293,,
2701,1120,6268043,425016724,6281510,4772.99,4799.71,5209.03,4624.03,5088.27,5051.24,4622.89,5375.51,5309.62,5177.85,4570.59,4948.56,5115.31,4669.44,4766.62,5317.15,4809.77,4780.68,4923.19,5120.19,4637.14,4611.57,20556,16935,19988,4822.93,176,1.0
2702,1123,6285699,126043320,6227497,5478.86,15397,4787.74,5299.94,33559,13752,4607.1,4852.99,38017,31058,11172,4504.46,4584.59,5419.99,4522.72,20556,4691.37,4609.7,49509,20855,4590.86,32133,5183.5,5194.17,4954.34,4577.92,,
2703,1123,6285699,136048340,5932244,281937,204223,136518,155634,156939,4851.6,190224,4574.87,4882.51,5446.38,5215.81,4683.1,5477.09,166874,189365,172192,103748,5047.42,165525,4622.62,4629.1,134025,691475,776962,712644,205598,,
2704,1125,6297499,94037506,6180479,4894.65,4894.06,4548.63,5469.37,5044.06,4781.78,4648.95,4776.88,5421.34,4900.65,5287.64,4582.46,4602.81,4744.75,14994,5191.63,5170.1,13631,5167.1,4946.03,5361.45,5393.74,16113,43594,5146.02,4713.99,,
2705,1130,6327097,116983025,6387136,5162.76,5371.72,48191,4653.69,5298.6,54473,5231.69,5260.29,16962,42093,62476,60425,4692.83,54460,5272.77,5478.47,4557.62,5372.96,4758.83,4998.91,59380,56001,67891,85236,56911,41471,177,1.0
2706,1141,6392725,147045074,6179446,18472,18703,5421.78,5386.68,33529,21591,10812,5242.78,36980,28702,15004,5394.44,5356.64,5423.32,5087.98,23808,4650.89,5248.92,40506,32229,4619.93,30894,5207.31,5266.32,4615.96,12786,178,1.0
2707,1142,6398777,353087341,6559344,4633.1,5406.51,4634.87,4568.27,4828.27,5328.09,5089.75,92426,50107,4931.42,199100,100183,5312.14,5088.69,5036.76,4855.82,73385,4507.22,113372,5021.88,86058,4594.05,4894.67,5155.53,4692.87,4859.1,178,1.0
2708,1142,6398777,407005768,6262526,4513.74,4953.96,5039.41,5308.29,14738,14081,4613.7,5486.82,4708.26,5310.27,25313,16107,4858.76,4651.71,5280.53,5258.05,5342.62,14912,13562,11766,13995,4632.49,38262,58603,5276.05,4861.21,178,0.886337135105
2709,1145,6410883,117034592,6573512,47420,4670.17,35051,4879.33,4522.79,4898.68,27971,5314.41,4956.29,5407.81,5341.08,4630.7,21001,25019,4912.02,23165,4764.18,5410.2,4926.67,4721.5,5013.45,5433.88,103813,135911,5230.77,4985.25,,
2710,1150,6445374,94029465,6292499,5256.24,12258,5213.98,5338.97,4679.31,5222.66,13134,4889.94,4970.75,19365,15774,4980.79,11218,4804.08,4791.6,4910.72,10028,4525.6,5412.9,4618.6,4623.66,5462.31,4517.94,5226.22,4659.65,20303,,
2711,1151,6451535,123008667,6315725,4957.96,12277,10868,4877.56,12216,17389,17521,5135.55,4805.99,4782.29,4673.17,5238.41,4883.09,5243.01,4975.83,4623.5,5170.47,5299.01,5213.49,15043,4784.3,4541.73,4927.78,25215,4702.43,5442.24,,
2712,1151,6451535,132021576,6286465,5399.63,4581.92,17173,5116.23,5005.2,4822.99,4505.71,4626.58,5076.94,4946.48,17388,5307.94,5034.48,5201.93,5487.45,4599.26,15178,22373,4594.05,19656,4769.39,5147.45,47360,4561.54,69429,4683.51,179,1.0
2713,1151,6451535,292989563,6439681,5298.71,4772.55,4942.31,4552.66,4680.7,5032.18,4628.71,12658,5426.75,5122.84,4838.16,5319.29,4659.67,5358.97,4897.99,4679.76,4599.65,11331,5018.2,5332.73,4700.89,5320.88,32788,34073,4817.1,10773,179,0.875001431139
2714,1152,6457558,91054893,6268766,4540.01,4791.22,5220.2,5409.15,5021.17,20428,5341.15,4953.28,5105.98,20759,11461,24287,4691.7,4523.84,18352,12615,4657.14,21045,12636,5239.42,4627.2,4774.5,56844,75352,5327.7,24386,179,0.85428458865
2715,1152,6457558,136016403,6193680,4937.97,4668.99,17067,4755.22,4899.47,4873.5,4520.34,4997.69,4524.19,4897.2,11425,5463.18,4818.49,5353.09,11515,5092.08,11842,4772.47,13300,5242.9,4678.32,5065.85,4534.53,5121.08,4930.58,20105,179,1.0
2716,1154,6469798,125024292,6180265,4971.15,10530,11027,4926.76,5064.12,4760.71,5160.13,5035.95,5035.54,4580.61,5283.6,4533.06,4663.2,5436.99,5138.71,5158.72,5420.34,5068.9,4612.26,4692.02,4823.6,5013.62,18716,5123.09,5042.74,4839.05,,
2717,1156,6482067,136048370,6433367,5096.85,4507.25,135515,113797,122938,152227,165562,132156,4703.12,157811,209609,111195,81603,148258,4586.44,134330,88623,5130.89,151813,135767,104830,5118.46,4957.14,633613,633495,5011.88,179,1.0
2718,1156,6482067,180038223,6462600,4847.12,57145,67071,4759.44,5232.99,4840.08,4790.97,5148.6,5094.23,4933.97,131777,5309.37,5460.89,4573.81,5350.36,5458.61,4744.08,4774.64,5433.88,4629.95,4816.4,5030.82,5322.15,4578.35,4655.4,4822.42,,
2719,1157,6488202,100003647,5891118,5059.64,5484.39,10270,4986.66,5433.64,23171,12210,5353.88,5295.02,4524.47,4783.4,24976,5280.66,4540.17,5262.71,5184.71,4856.69,26071,27679,25471,5463.75,5302.08,21996,32487,4948.45,26713,,
2720,1159,6500521,286998627,6491638,14184,4798.1,5284.92,4725.33,4756.8,4952.38,4883.1,4727.97,5335.69,5138.61,4617.79,5453.23,4700.9,10574,5069.61,4758.32,5222.12,5125.01,4565.21,4678.27,5232.12,4824.11,29523,33500,32414,12865,,
2721,1160,6506649,155034927,6561011,4573.44,5162.12,4883.2,5241.41,25937,4845.56,24878,24812,5238.47,5348.32,4856.78,25849,4754.05,36387,4557.22,4864.48,21691,4766.25,45516,4873.76,5462.24,5310.65,4607.8,5197.87,5490.31,5463.82,,
2722,1162,6523160,127040024,6637187,86808,5212.62,4534.24,4672.88,35491,5285.54,4621.54,5123.55,29866,4591.77,4819.56,35866,5309.78,4871.86,4987.1,50669,4850.73,4800.49,65872,4680.81,4675.72,5055.93,159714,291138,4541.51,4720.33,,
2723,1162,6523160,171029861,6554144,5398.27,4952.9,5209.62,5261.37,5274.09,4602.45,4775.2,18112,5030.24,4762.23,4507.01,17361,5417.85,4803.41,5497.41,5127.78,5060.43,5218.71,5207.36,5434.19,19552,4545.39,46443,80116,4875.9,5399.8,,
2724,1167,6554033,159092667,6520930,5438.91,5011.63,5283.89,5195.26,4759.21,4993.16,4589.24,4988.02,4636.06,16137,10288,4554.28,5065.72,5408.93,4951.47,4501.97,5098.7,4723.45,4599.18,5268.41,4757.11,4860.3,4984.93,4864.39,13823,4834.92,,
2725,1170,6572616,395046814,6525596,4902.65,4672.5,4640.64,4982.5,5065.76,4899.99,5032.26,5019.09,5252.87,4857.56,4711.06,4657.83,5482.78,4594.4,5307.73,10409,5018.81,5093.85,5012.91,4886.93,4613.74,5084.5,4756.19,47102,41967,4952.09,,
2726,1171,6578800,125035446,6285652,5498.86,4518.9,11792,5442.85,5385.81,4721.17,11064,4658.57,4628.15,4576.86,4542.27,11766,4967.1,5310.83,4693.5,4928.31,5315.51,5430.79,4718.6,13460,5328.33,5169.46,4540.58,5351.45,4880.69,13993,,
2727,1174,6597441,97029068,6482691,10496,4813.44,5485.45,5024.93,11159,4893.75,12835,5013.87,12738,5028.64,10483,5262.45,4787.32,4701.72,4955.78,5137.59,5182.02,5401.09,11225,5257.82,5423.55,4725.91,13140,31471,17765,13703,,
2728,1175,6603695,103003517,6398048,22121,5453.8,49288,34728,5292.51,50428,4853.16,5271.26,5039.48,4810.04,5145.73,4838.8,5443.75,38106,4563.68,23879,29205,37071,4952.21,50967,4551.78,5195.94,4579.84,63071,30257,54152,,
2729,1175,6603695,136016388,6774499,13356,4612.93,5267.36,5108.86,5216.07,16080,13502,4719.73,5304.72,17595,4881.73,4867.47,5174.28,5410.46,4986.05,13798,5108.67,5199.15,18235,5458.14,5331.66,15819,4829.48,4961.31,4659.48,4512.68,,
2730,1181,6641081,139892166,6557216,4920.9,5121.72,4719.4,5155.29,4604.06,5355.85,4799.02,4936.66,4928.37,4775.24,4512.75,4521.74,5270.12,12377,4726.31,11761,4610.98,4882.57,4965.12,12170,4677.57,4949.92,4867.3,4982.3,4981.6,5033.27,,
2731,1183,6653552,354090179,6308266,5078.43,4673.51,4515.19,4654.05,22130,25186,4769.74,4769.92,5082.3,19964,5057.08,28105,16612,12262,4529.05,4918.25,14718,24779,29554,18954,4786.51,5388.83,4983.72,190409,139082,33645,,
2732,1184,6659819,105034256,6284580,4613.4,10741,4751.17,4900.24,5172.85,5411.03,11920,5238.11,5416.67,5346.3,13616,5237.1,5009.4,5172.92,4586.86,5122.52,5328.9,5447.78,10413,4713.84,4811.74,4903.83,4993.16,28205,4550.89,5153.61,,
2733,1184,6659819,391042694,6959975,25737,5369.64,4512.3,4967.76,4760.19,4721.95,4984.03,4727.53,5382.14,4688.68,4947.8,17334,11543,14920,4801.04,14922,5036.99,4525.49,17736,4906.53,5251.54,14725,77017,81182,5064.43,4931.55,,
2734,1187,6682726,216990936,6766131,5015.61,5292.61,14913,5152.87,5052.58,11176,4789.73,10600,5275.02,12488,5491.49,4767.8,5404.29,15094,5322.65,4518.34,12440,15575,5164.86,4738.09,4940.8,4522.29,5116.85,64414,5256.81,5372.79,,
2735,1189,6689079,97029060,6767784,4578.19,5250.21,4908.08,4789.01,5202.12,5047.5,4612.06,5139.49,5401.97,4785.68,4593.98,5432.79,5379.9,4953.63,5183.47,4507.78,4608.76,10227,5121.7,4981.86,10176,4947.81,5368.65,26833,4744.18,4589.31,,
2736,1189,6689079,201016861,6404075,4593.83,65951,43408,5061.73,4659.09,5101.31,4741.14,45627,4790.42,4969.42,4783.09,5214.57,55142,48699,48158,41307,5211.33,64729,5192.31,5142.43,17137,5072.5,247941,5046.03,5151.15,5205.36,,
2737,1190,6695391,148954742,6690105,4895.5,4660.17,5171.9,20687,4692.09,5223.76,19863,24995,4938.89,5113.54,5095.16,5276.18,4562.27,29639,19111,13893,4950.75,4816.44,29782,27848,4813.65,5010.28,27452,4976.97,5002.82,5350.81,,
2738,1192,6708016,149060989,6714106,4547.06,4504.28,5398.21,4956.29,5414.68,4653.65,4979.02,5043.18,4694.71,5119.07,4808.73,4697.19,5217.88,5408.82,5208.84,4736.71,5011.59,4916.84,5130.71,4605.41,5403.25,4897.82,10214,11564,12690,5057.88,,
2739,1193,6714393,151040146,6651376,4733.97,4573.16,5252.51,4507.83,5297.01,4655.37,4506.3,5442.66,5168.27,4941.12,17346,5252.41,5490.84,4635.79,4829.58,5475.51,5488.54,20076,4683.98,4926.23,4549.92,4902.17,53337,68604,4670.63,21735,,
2740,1194,6720692,144922867,6653565,5286.7,14816,14685,4770.67,5146.93,13077,4519.04,4860.81,14155,11366,4567.01,11366,11604,10820,4912.08,10832,11274,5127.34,5196.27,4638.83,11106,4945.91,4737.41,4876.78,4566.29,5055.36,,
2741,1194,6720692,144945465,6616696,4869.47,4804.01,4584.68,4623.18,17743,4846.44,5412.54,5036.12,4732.14,4535.6,17254,18482,5314.87,5249.07,14621,4990.26,5449.42,19858,4617.95,19143,5060.72,5307.73,4888.97,4590.03,5048.19,5360.52,,
2742,1195,6727010,113035545,6645438,4599.01,15701,4793.51,11811,4853.23,15208,4987.86,10064,5048.56,5023.08,4906.33,14059,4754.89,4590.01,5142.54,4911.06,10362,12443,25474,16865,11656,4974.04,4747.88,4733.11,4893.99,15161,,
2743,1197,6739493,99044884,6536489,5279.06,5451.59,11814,4649.25,5095.69,10537,4829.44,5099.85,5298.29,5410.15,5311.58,5176.03,4769.01,12120,5183.96,5359.79,5329.31,12932,5454.73,12265,5363.41,5089.15,24809,42440,4538.35,4700.04,,
2744,1204,6783627,91018501,6579534,5047.26,5290.42,5163.41,5250.95,5476.01,14908,4505.16,4654.11,5476.29,20053,12682,13707,5401.86,5186.33,5415.52,4862.78,4899.54,4598.75,15160,17204,5395.53,4552.1,5202.93,26537,5145.49,4503.44,,
2745,1204,6783627,171029984,6888473,22336,10365,4824.16,5154.45,5318.74,5234.27,4503.62,5421.7,5477.62,4577.05,24255,4847.25,5471.46,5199.52,5404.8,5164.66,14474,5175.08,4762.56,4662.2,4892.75,5026.67,50629,91914,5072.49,5441.06,,
2746,1204,6783627,181039368,6954330,12198,5150.89,10098,4580.24,4817.99,5408.36,4870.88,4535.94,5427.61,5251.32,5407.35,4912.59,4939.49,4875.07,4665.59,5043.67,5461.9,5028.51,4651.01,4518.76,4769.11,5206.69,4504.79,63470,5030.67,12368,,
2747,1206,6796231,177055557,6686204,4981.88,4656.33,5282.37,5170.54,5442.64,4537.23,4547.68,5013.88,5342.08,5248.16,5452.44,5104.83,4738.21,4783.37,5033.45,5432.16,4990.44,5036.84,5189.03,5095.9,4875.05,5157.67,13616,17691,13295,4928.48,,
2748,1207,6802690,191056015,6693264,2375839,5388.9,1821376,4903.53,4549.14,5149.18,2052969,4894.9,1208228,5116.66,4903.69,5443.37,4781.47,4591.04,4974.63,5008.27,1182155,1888818,1818217,5188.58,4945.93,5472.09,7767763,8630650,4666.65,4581.46,,
2749,1207,6802690,407006104,6832139,4950.48,4950.15,5052.02,5442.21,4801.12,4633.61,4503.11,5013.93,4805.87,5441.81,5490.09,14206,4631.08,5252.14,4586.46,4684.15,4794.75,5204.99,13204,4793.81,5089.59,5309.69,32953,4925.04,5285.45,4736.64,,
2750,1208,6809023,160917664,6561572,46193,5437.19,47189,51986,5470.11,53163,49448,51980,4616.58,46005,46869,45927,50935,49835,5081.31,5230.14,50245,50107,4527.05,44649,4659.8,25090,4511.11,32525,34302,42245,,
2751,1209,6815341,203944916,6700536,5450.8,4725.66,11458,4622.37,5201.94,4655.29,11058,5048.62,4910.19,10696,5157.04,10925,11935,11299,10846,10305,12224,11029,4762.62,5471.8,11615,4609.22,5401.39,4543.66,4544.06,4715.84,,
2752,1210,6821679,107050117,6719812,5328.99,5257.17,5086.96,4752.46,39802,55925,51293,4801.98,5235.91,5160.5,5162.51,40927,5307.01,42204,53961,5404.3,25890,57705,5190.93,53363,55349,32547,5199.02,5181.62,5395.91,5092.69,,
2753,1210,6821679,133014359,6707606,5132.07,4719.82,4819.8,5236.92,4982.59,4518.61,5065.17,4764.5,5111.21,5357.89,5272.71,4516.01,4798.72,11429,10054,4517.63,5318.37,11956,4798.69,5206.55,5256.52,4635.83,5140.68,5378.18,4695.57,4598.52,,
