peak-aif,Scan Nr,retention,Mass(uD),retentionMean,Qe05965,Qe05948,Qe05949,Qe05950,Qe05951,Qe05952,Qe05953,Qe05954,Qe05955,Qe05956,Qe05957,Qe05958,Qe05959,Qe05960,Qe05961,Qe05962,Qe05963,Qe05964,Qe05966,Qe05967,Qe05968,Qe05969,Qe05970,Qe05971,Qe05972,Qe05973,clusterId1,membership1
7831,3388,18738911,454143555,18735405,5138.87,4977.59,4805.12,5115.87,4912.36,5451.2,5278.71,4571.73,5140.5,5152.57,5310.67,4738.22,4533.35,4987.29,5446.03,4902.53,4635.53,5205.72,4501.37,4500.98,4961.24,4875.17,49183,63697,48122,4500.53,,
7832,3388,18738911,573086853,18726421,4782.84,5394.8,5130.56,4697.18,5403.17,5452.92,4519.16,5318.36,4747.83,5103.7,4604.92,4733.73,5475.12,4834.71,5282.26,4661.7,5114.1,4820.36,4572.37,4834.38,4946.97,5308.12,24196,22609,19415,5297.48,,
7833,3389,18745008,567318726,18707341,4976.49,5048.5,4677.44,5493.96,30430,4602.39,4586.34,4520.56,31345,13856,4597.14,4934.61,4912.9,5141.9,4780.83,11375,5218.14,4533.98,49431,5289.1,5320.97,13396,5300.87,5347.97,14354,4578.79,,
7834,3390,18751226,149045822,18639155,30645,33642,25141,24661,25994,21066,27944,24918,18984,24005,30670,25635,21374,30872,33754,33334,25685,25926,33019,31569,31521,26185,17302,29953,4848.18,31718,479,0.801457332259
7835,3390,18751226,243879700,18568514,4990.57,124688,115338,4808.97,4766.72,5480.52,4536.53,5031.86,5180.02,4543.04,4793.89,4990.63,4730.36,5132.71,4745.62,4714.44,4740.3,5402.32,4921.53,5246.01,35099,5233.42,4516.68,4827.26,4776.1,5165.22,,
7836,3390,18751226,476125824,18731850,5118.66,4768.35,5347.07,5222.19,5215.34,4572.46,4538.98,4839.9,4866.09,5350.61,4703.18,4893.58,4679.42,5472.67,4941.41,5001.89,5231.49,5093.93,5006.04,4856.88,4673.89,5341.04,47234,45061,37318,4834.78,479,0.983453190837
7837,3390,18751226,629318115,18790341,13407,5133.88,12463,11255,12047,15564,12066,11746,5430.33,14557,5272.59,12323,5046.06,12338,11992,17101,5099.9,5130.83,13878,15492,12442,13558,4615.19,4616.46,5468.71,5311.12,479,1.0
7838,3391,18761452,156038330,18744338,4809.09,5070.12,5229.66,5437.84,5327.23,5325.01,5321.72,5497.39,4748.31,4565.95,5308.31,5086.45,5447.83,5304.47,5220.12,4642.92,5013.05,5229.23,4752.02,4555.32,4881.32,4874.01,46656,44519,36769,5247.25,480,1.0
7839,3391,18761452,201996857,18733958,4897.89,4616.54,4915.55,4822.24,4914.66,4842.23,5009.61,4790.63,18984,19573,4552.66,5098.69,5005.42,5071.41,4581.23,5203.11,4688.97,5377.04,18941,15511,4707.84,15162,4625.21,5385.19,4656.98,5465.47,479,1.0
7840,3391,18761452,303196045,18737505,28307,29239,22470,20265,5461.7,28096,5049.98,19168,44624,32641,26145,31425,18274,29246,35640,42040,22737,26727,49939,31913,26312,34775,5264.99,5299.4,5143.04,26304,480,1.0
7841,3392,18767685,118058998,18742080,32673,28480,5475.39,5397.8,5200.47,4633.28,5012.43,5010.58,4789.26,4598.31,28303,5144.72,4557.49,4532.63,5002.42,5426.14,4815.07,4534.67,5199.78,4890.1,4876.17,5197.48,146576,144478,119874,4842.38,480,0.983033051006
7842,3392,18767685,201017273,18890865,30212,28104,21761,22393,20996,22666,27794,19685,21928,13070,33455,24313,20575,20720,18986,20660,19141,20279,21873,21890,21898,24126,95594,56498,74255,33950,479,0.922608382843
7843,3392,18767685,233066040,18707913,5458.46,4818.37,4742.91,4881.83,21059,5187.98,4644.26,4516.48,11691,5089.13,4610.39,5160.44,5299.74,4533.16,4648.43,4982.63,5093.38,5450.37,4804.32,5413.86,5333.37,4767.73,18801,30439,5233.92,4975.9,479,1.0
7844,3392,18767685,291108398,18770316,527401,468210,161409,186341,164437,157984,186577,157578,147228,190983,484910,171618,142896,171393,170664,166913,118317,145036,164682,175522,164345,183645,2746138,3010143,2441939,442163,480,0.983788260066
7845,3392,18767685,357058319,18721264,4644.52,5005.97,5430.57,4665.77,4678.26,5080.66,5073.93,5319.32,4594.47,5323.25,5164.23,4776.43,5196.34,5358.39,4909.63,5284.41,5418.52,4789.9,4949.55,4931.79,5232.84,4931.01,32799,22764,22765,4568.93,480,1.0
7846,3392,18767685,375069489,18741010,4777.32,5459.15,5039.62,5377.63,4634.04,10741,5453.29,4577.19,41996,44316,5085.92,4992.45,4839.86,5355.27,31237,4923.44,4938.96,4564.27,5351.82,5102.77,39886,4721.95,138855,95745,70584,51313,480,1.0
7847,3392,18767685,476228943,18756328,48205,44877,22698,13017,70335,43233,32344,19536,89609,59564,42254,51967,12164,39587,52448,85716,32292,37302,108343,58131,33389,60845,4829.51,5327.01,5288.75,43854,480,0.954391908926
7848,3392,18767685,593188293,18759940,19349,4952.79,4797.6,5017.63,4920.95,4921.15,5307.34,4900.56,5332.93,4572.1,18431,4790.52,4712.53,4728.42,4861.72,4901.9,5231.46,5441.93,4642.39,4700.87,5414.54,5207.06,111603,98286,45690,24095,479,0.963598765076
7849,3393,18773823,94037491,18728973,58456,48913,32448,20085,4822.87,42483,22170,18596,4594.47,32602,54617,29222,5422.31,21769,10180,4920.05,5094.22,29606,34737,39301,17361,22933,187300,199417,132894,41943,479,0.975417354943
7850,3393,18773823,117055534,18765113,545310,500290,178947,216685,184665,172655,205499,182956,156135,214702,491764,180276,166973,183653,199721,180878,130679,169324,172758,192994,183354,216058,2696470,2662532,2203274,469064,480,0.988981197885
7851,3393,18773823,128035248,18761266,66477,62449,52101,5462.28,97872,60101,43766,4910.09,114140,86198,57419,73338,4588.18,53794,74001,102284,43784,59391,139926,76783,51794,82637,5395.12,4740.45,4799.55,60334,480,0.92656074484
7852,3393,18773823,173045364,18758040,3280777,2983048,4980.84,4649.6,1131463,4982.74,1250770,4557.35,5130.03,1255699,2948882,5029.76,5000.52,5194.65,4998.58,1126365,5318.74,5423.18,4706.6,4524.16,5443.62,4824.84,15355920,15680360,13011968,2894886,480,0.990341350591
7853,3393,18773823,174048615,18773030,280007,249569,109475,110681,66698,108251,108015,90662,78416,114124,238039,107152,56258,92691,111719,107752,68626,96218,110059,119796,94288,103516,1315533,1275862,1088389,225297,479,0.996907546748
7854,3393,18773823,217107849,18759899,56723,49281,42491,42108,52236,46844,49074,33545,48892,53737,53192,43347,27151,38495,57064,46212,29093,35295,56685,42659,33408,46489,73066,136130,83237,56339,479,0.862056416017
7855,3393,18773823,239089996,18767496,52080,50332,53395,48036,57665,58274,54350,44466,56780,62343,53931,49668,43608,43722,48832,52936,40912,42606,56344,53596,42218,56441,47164,65727,43901,54501,480,0.800100995392
7856,3393,18773823,262086700,18756930,5003.81,4827.78,4722.7,4804.77,4839.94,4578.45,5225.8,5209.86,5473.07,4648.43,5452.53,5452.16,5296.06,4719.44,5208.5,4554.74,4626.01,5194.44,4814.88,5062.73,5251.78,5453.28,15285,49274,30794,5460.57,479,0.875150767068
7857,3393,18773823,292111664,18774011,71043,62951,21252,24153,22018,21802,23184,22583,16589,25821,63562,21363,16838,20726,25402,21611,14888,18445,24022,22318,22450,26726,367374,409861,335012,61655,480,0.983600461389
7858,3393,18773823,376072174,18761530,11628,4991.21,5355.28,4608.89,5351.81,5413.56,4552.62,4717.6,5499.69,4953.75,4790.1,5443.3,4669.33,4884.95,5005.94,4537.05,5449.26,5006.56,5337.7,5474.36,4748.83,5320.08,26361,19760,4631.47,5058.27,479,0.818121635259
7859,3393,18773823,669276550,18709086,15711,4945.79,14593,4605.65,10720,4827.78,21426,5293.5,14825,5193.96,5170.57,25622,5010.81,25379,20251,23076,13606,16259,26273,17940,20428,15107,5120.94,5368.07,4691.61,14713,479,1.0
7860,3394,18780182,110024696,18340693,5002.27,42791,58588,62616,5352.06,41603,51230,56403,27254,42356,52228,58229,47515,57227,61481,4698.51,5204.99,67835,4715.71,49197,4524.93,4812.04,5355.49,38546,22121,47428,480,1.0
7861,3394,18780182,146045975,18760243,34773,34440,18777,12363,57120,33315,25807,15353,65795,45246,30543,36151,10600,33383,33356,56046,24170,26560,76749,41328,28321,44202,4629.81,4886.64,5475.2,4769.52,480,0.917291311097
