clusterId,centrotype,cent.factor,nr of peaks in cluster,scan,retention,retentionMean,mass,max sample name,max value,QUANT_START,Qe05965,Qe05948,Qe05949,Qe05950,Qe05951,Qe05952,Qe05953,Qe05954,Qe05955,Qe05956,Qe05957,Qe05958,Qe05959,Qe05960,Qe05961,Qe05962,Qe05963,Qe05964,Qe05966,Qe05967,Qe05968,Qe05969,Qe05970,Qe05971,Qe05972,Qe05973,QUANT_END,mass list,(relative)intensity list
689,11780,1.0,44,4327,23776285,23771730,4.26105286E8,Qe05972,9.34850560567672E7,>>,3.490618789999569E7,3.320732181554823E7,2.2742134115560558E7,2.30039370829688E7,2.2732822373754352E7,2.3029256177093808E7,2.4061512470319092E7,2.2812107891745932E7,1.8973091101446204E7,2.404906184137031E7,3.2027085890195288E7,1.935328243160863E7,2.068304609587045E7,1.8618017786604855E7,2.284901558988046E7,2.034216826821455E7,1.696753618314907E7,1.8082742351338178E7,2.060825815217138E7,2.2714863473210726E7,2.17621745633094E7,2.5629633852027055E7,8.815985945318344E7,9.278142458599801E7,9.34850560567672E7,3.249682765994448E7,<<,4.37144806E8;4.83151154E8;4.38148224E8;4.84154572E8;2.75112915E8;4.73121399E8;8.75296875E8;4.39150391E8;5.00140503E8;5.05132446E8;8.76299988E8;4.75119171E8;4.26105286E8;4.85157227E8;4.74125122E8;5.33132324E8;5.01143677E8;5.37068604E8;5.06134949E8;4.97177429E8;8.77302734E8;4.26607635E8;2.76116241E8;6.56220886E8;9.25278992E8;1.01060837E8;4.89129364E8;5.17133301E8;6.56722473E8;8.97279297E8;5.34134094E8;4.76122772E8;5.2110553E8;6.4518042E8;8.53218262E8;4.95103699E8;8.98283386E8;5.38071838E8;1.73045044E8;6.57222656E8;8.78306946E8;4.59125153E8;6.45681885E8;4.62134796E8;,999.0;251.4;231.61;61.47;50.88;49.47;48.32;44.53;35.21;29.8;22.24;15.92;14.12;12.49;11.59;11.4;7.55;7.46;7.33;7.09;6.91;6.63;6.62;5.21;4.97;4.15;3.98;3.93;3.86;3.79;3.65;3.61;3.24;2.37;2.25;2.22;2.11;2.1;1.89;1.88;1.86;1.8;1.76;1.71;
692,11834,1.0,3,4343,23862371,23869746,4.68177399E8,Qe05966,3099481.37451348,>>,1346724.334910918,1301530.2292103795,783092.4391094667,347925.9325946094,2341143.0398104466,1042169.171417993,1523738.1706107971,456335.14406213607,2222713.727530794,1680845.4333783032,1166907.3813067498,1306965.1094191242,390878.09560423874,738662.326138811,378182.88352712395,1972646.8096460637,338392.6974619879,759117.474546041,3099481.37451348,1741021.9754187304,451193.807579018,1839085.7932456248,2482661.231315487,272839.5926752528,242902.86327245994,1248750.2111309997,<<,4.66171326E8;4.67175415E8;4.68177399E8;,999.0;237.85;51.66;
694,11848,1.0,2,4351,23908710,23908476,7.19327515E8,Qe05967,765185.3903013982,>>,610494.7067773232,578184.3997702582,569944.1297218681,638079.0766309857,515083.66469441244,519765.56054838456,543035.0150450972,561919.627644994,478434.5532960858,555212.8080117306,499014.8370776548,675070.6203118365,448415.23835243663,581530.8326222237,700273.191925556,681460.4646169401,478209.4028536736,676285.9229011084,722189.4015015359,765185.3903013982,720366.8408165509,684750.976002478,0.0,0.0,0.0,559746.2535705846,<<,7.19327515E8;7.20330872E8;,999.0;568.9;
697,11877,0.997468,7,4364,23976101,23982980,5.13139282E8,Qe05970,1.3577333824660521E7,>>,4231351.148507925,3890218.79150117,2489341.926675328,2717767.7083254843,2320157.8045206396,2364511.767818765,2658163.995631135,2407791.4730921877,1883823.8388332378,2564598.7155918498,4047827.884056254,2451000.5253592115,2175862.8159229313,2108255.9144813903,2361446.1041178517,2147038.0209983326,2124144.614692112,2204123.039264258,2296699.2351197847,2357037.8689792412,2435053.0292432746,3082467.263206536,1.3577333824660521E7,1.3440730755071739E7,1.3289661890598929E7,4185722.049865072,<<,5.13139282E8;5.14143005E8;5.73160339E8;5.15148804E8;5.74164978E8;8.53245605E8;4.770961E8;,999.0;287.29;72.17;55.08;21.87;15.94;8.23;
698,11890,1.0,17,4365,23980732,23975268,1.220591919E9,Qe05966,1.5384792853577235E8,>>,7.297025993395351E7,7.278391856735756E7,6.089933194601521E7,5.411250555692885E7,8.46264718624269E7,7.319001927032784E7,6.2012203990954004E7,6.015887463446212E7,8.214308870190589E7,8.675717058653863E7,6.671445572117772E7,9.843787098925726E7,4.80006884280038E7,9.922507341827144E7,9.536908120455301E7,1.216133776266609E8,6.691162318505743E7,8.507519479203399E7,1.5384792853577235E8,1.250687976137021E8,9.02602995858296E7,6.830331332637736E7,2535162.7260300377,910874.926066692,1359321.0171129187,7.604127941771202E7,<<,6.09290894E8;6.10294006E8;6.11296509E8;5.65299927E8;1.220591919E9;1.219589111E9;5.66302795E8;1.221596436E9;7.09217285E8;1.241569702E9;5.67305054E8;1.222595703E9;1.242574829E9;7.27354248E8;3.01180847E8;7.10222656E8;1.243578979E9;,999.0;342.65;81.76;39.13;25.57;24.72;13.01;10.49;3.37;3.09;3.0;2.33;2.17;2.04;2.03;1.44;0.78;
700,11920,1.0,4,4375,24021824,24018482,9.7541217E8,Qe05965,9550051.447206121,>>,9550051.447206121,8537047.016972989,3126748.3244058574,415757.924365281,4506965.546517164,4088505.1809587628,3806392.5450799596,3249620.9813723476,4083958.910916211,5005743.069108231,8872517.939764751,6495138.354277074,2646492.118016069,5519011.494332037,5857023.790535271,7651037.132883463,4003067.0240806723,5485748.496173374,8813465.877323408,8404150.581781328,5440535.371053956,4008842.9887214396,789874.186173187,298032.3355124165,416309.4989009793,9164197.065971917,<<,9.7541217E8;9.76415161E8;9.77418274E8;9.78419373E8;,999.0;565.87;198.08;36.8;
702,11935,1.0,3,4382,24053059,24048857,6.89315002E8,Qe05968,1545452.1971755736,>>,0.0,0.0,1244346.7493441694,1234216.5712748806,1106563.204618838,1196218.8912412892,1226657.31832565,1163264.1055127222,1044079.0836440837,1121049.4841758623,0.0,1286165.7018318106,1026274.6457871883,1122568.7155704629,1438371.0731780548,1309119.889154072,1254269.0118086017,1282196.598429344,1165917.2768567689,1279011.0234945463,1545452.1971755736,1341898.7695570937,0.0,0.0,0.0,0.0,<<,7.3129248E8;7.32295959E8;6.89315002E8;,999.0;416.8;109.67;
704,11984,1.0,83,4387,24075268,24075170,3.81108429E8,Qe05972,7.731476467077502E8,>>,2.796570247111439E8,2.6316594204820558E8,7.938619792623138E7,8.655560050344837E7,8.404404996375722E7,8.472639542471036E7,9.077564754774085E7,8.237232672705497E7,7.001786777872631E7,8.367212912691183E7,2.57961124276867E8,1.0357492399741314E8,8.255372491304213E7,9.124336626795304E7,1.0203845892425866E8,1.0546738974583848E8,8.667085715718484E7,1.022891441042703E8,1.0043048890459746E8,1.0951908970107493E8,9.905144077981089E7,9.63033478412449E7,7.506086805755905E8,7.059468183537095E8,7.731476467077502E8,2.6861552322788167E8,<<,3.65113617E8;7.31234619E8;3.66116669E8;7.32238037E8;4.1111911E8;1.097355957E9;7.33240601E8;3.261026E8;1.098357666E9;4.12122375E8;3.67119446E8;6.92223694E8;1.099359009E9;9.14795532E8;6.93226685E8;9.14295288E8;7.34243652E8;7.47228638E8;3.81108429E8;1.35045151E8;9.15299072E8;1.097856201E9;4.13124786E8;1.280916016E9;1.058346069E9;5.48174744E8;1.281418091E9;2.29061203E8;8.01250732E8;7.48232056E8;8.75359802E8;1.100365723E9;1.059346802E9;1.280415405E9;5.48674988E8;1.42065826E8;6.94229553E8;7.45213379E8;1.098859497E9;5.09238861E8;1.61024445E8;8.76363525E8;3.82111511E8;8.02252991E8;5.49177673E8;7.53216309E8;7.4621637E8;1.114356323E9;7.42728088E8;1.282419434E9;7.49233154E8;8.94792236E8;5.59167175E8;8.95255554E8;4.27117096E8;1.33029037E8;1.078356567E9;5.10242828E8;9.25789429E8;5.59667114E8;8.83253845E8;1.261407959E9;7.63225525E8;7.43225159E8;9.26282898E8;4.63081268E8;7.5421991E8;1.25360168E8;6.95233643E8;2.30064301E8;1.86055649E8;8.95791809E8;1.115357178E9;2.03082413E8;4.5514505E8;7.43723206E8;8.31159241E8;1.109849609E9;4.5412381E8;7.69198303E8;5.67152161E8;5.57140747E8;1.111336792E9;,999.0;455.78;222.64;205.63;159.13;59.45;53.4;41.78;41.32;38.26;32.85;30.45;14.55;13.5;13.02;11.62;10.4;9.79;9.14;8.26;8.21;7.66;6.26;6.1;5.51;5.01;4.58;4.55;4.39;4.22;4.19;3.88;3.67;3.63;3.48;3.44;3.32;2.95;2.81;2.81;2.61;2.35;2.03;1.96;1.51;1.38;1.2;1.19;1.13;1.12;1.1;1.08;1.08;1.07;0.95;0.95;0.85;0.79;0.78;0.78;0.77;0.76;0.75;0.74;0.71;0.7;0.64;0.61;0.6;0.59;0.52;0.52;0.49;0.42;0.4;0.4;0.31;0.3;0.25;0.22;0.2;0.2;0.16;
705,12056,1.0,5,4395,24112457,24097600,6.59306274E8,Qe05953,2318349.8937413073,>>,1396006.020713438,1412580.3062591632,1903120.0514070687,1621696.9329563733,2181016.3454056797,1916327.7824700107,2318349.8937413073,1915683.3569425575,1909076.6727763044,2183414.150912508,1273774.5599949043,2138434.4069898087,1709212.5284571385,2078796.2245654815,2139280.87576521,2147679.9697155957,1500881.0814997635,1843740.6329195204,2192940.390070497,2126042.0399610726,1983423.844513574,1879380.8265737027,0.0,0.0,0.0,1474806.9656733114,<<,6.59306274E8;6.60309753E8;5.95274902E8;7.81299988E8;6.61312439E8;,999.0;402.54;326.8;108.02;69.84;
712,12130,1.0,8,4417,24217794,23974450,4.01090088E8,Qe05971,4557171.910002575,>>,194958.19335532788,140817.00305890065,0.0,0.0,0.0,0.0,0.0,0.0,73514.6358586339,60024.244208509575,175336.2513864588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70815.21644018254,64209.39801944426,0.0,85203.17941574652,4437915.218237467,4557171.910002575,4314944.792040973,150396.27504480258,<<,4.01090088E8;5.1713446E8;3.95124023E8;3.35170868E8;4.31084229E8;3.96126923E8;4.43110565E8;4.38148102E8;,999.0;299.61;121.8;47.47;32.27;23.87;15.56;15.18;
