peak#,scan,retention,mass,clusterId,centrotype,membership,clusterId,centrotype,membership,clusterId,centrotype,membership,retentionMean,Qe05965,Qe05948,Qe05949,Qe05950,Qe05951,Qe05952,Qe05953,Qe05954,Qe05955,Qe05956,Qe05957,Qe05958,Qe05959,Qe05960,Qe05961,Qe05962,Qe05963,Qe05964,Qe05966,Qe05967,Qe05968,Qe05969,Qe05970,Qe05971,Qe05972,Qe05973
5806,2219,12522754,3.70E+08,,,,,,,,,,12525718,270640,26838.53,153613,151756,64373,26957.03,250186,26042.97,239078,24079.91,255246,326259,272953,240322,274324,171114,24551.36,27300.49,299135,23091.73,292792,25191.29,25341.12,321517,303759,313184
5807,2219,12522754,7.52E+08,,,,,,,,,,12545596,192723,164937,178721,141284,23521.81,25915.36,127342,85472,25934.58,196487,24155.61,69528,141651,174270,74631,99271,177433,220608,196605,217893,191577,193231,225965,225211,140640,264921
5808,2220,12527079,1.79E+08,,,,,,,,,,12358956,242973,25567.08,91259,97114,27258.06,22733.23,100533,162455,25956.48,216877,149912,95848,152469,23017.94,197875,159058,24952.54,192869,23807.02,197761,25301.15,191675,225137,203936,230185,127461
5809,2223,12540041,3.89E+08,,,,,,,,,,12568445,433407,467137,549256,524500,466214,508689,493761,457379,26181.97,25755.52,441787,23315.78,26736.08,25491.5,467817,434150,465582,22798.99,26852.95,22617.51,404294,410553,410062,379278,441208,494655
5810,2224,12544368,1.61E+08,,,,,,,,,,12403081,598313,27064.74,453845,23914.4,24144.36,26990.78,128783,419615,24085.77,433632,414999,548441,26139.98,24891.65,25716.79,493336,23455.68,420837,24536.25,27435.49,24571.83,416454,26673.99,24578.66,25939.52,321485
5811,2224,12544368,2.29E+08,,,,,,,,,,12522475,26082.56,25705.89,23950.09,23627.26,25051.5,26296.06,106807,25078.54,24430.22,26159.8,25365.25,76759,27048.84,27351.32,24262.7,23950.97,25046.01,75636,24902.17,24493.24,25454.41,24529.51,22762.84,24105.8,27427.05,25003.53
5812,2224,12544368,4.00E+08,,,,,,,,,,12185135,23134.37,274832,25890.16,63261,26753.65,27113.3,64384,24579.21,25870.91,23154.16,23708.5,216872,24625.41,26271.37,24291.83,27356.06,25894.76,22766.19,25710.02,86061,23760.58,26195.61,23760.28,25273.01,24714.2,77320
5813,2224,12544368,4.65E+08,,,,,,,,,,12560925,26561.23,23952.29,25050.84,23378.67,25182.18,24560.9,25847.39,24140.54,23953.73,23288.03,27123.42,25804.13,25218.13,25226.91,23359.17,26369.98,63950,24422.45,25499.53,24812.29,22806.9,63443,70575,70487,24251.15,23263.11
5814,2224,12544368,6.61E+08,,,,,,,,,,12414629,23926.45,25272.02,26231.49,25348.46,27042.55,27406.1,24457.79,160368,251829,26716.5,24295.79,24968.53,23752.59,311177,26442.82,105016,26865.27,216735,25323.89,27376.31,24041.19,27475.74,25378.93,27026.99,149795,24532.77
5815,2225,12548704,1.06E+09,,,,,,,,,,12500798,25121.88,942322,25271.76,25480.25,23773.07,24746.98,25435.19,23074.09,23660.77,24407.69,26852.19,22776.7,24824.77,1166370,24542.4,23935.66,26509.79,24995.54,1069352,25874.43,23667.04,25551.98,24014.96,24539.87,25677.73,24605.63
5816,2226,12553041,3.71E+08,,,,,,,,,,12631087,331521,260336,24770.34,208295,271152,148466,226021,26562.58,265240,234384,234706,308822,314531,329856,265776,296927,266688,335527,313024,367194,340686,201418,364700,22633.52,336809,357875
5817,2226,12553041,3.71E+08,,,,,,,,,,12196486,23325.56,23885.14,22665.73,25540.31,23469.2,26894.46,24895.13,25872.68,27209.07,26868.49,26648.82,23303.37,25342.37,22590.26,27143.9,26987.11,162763,24090.44,59985,23534.23,51236,22944.8,107178,26031.19,24034.15,61486
5818,2228,12561708,5.57E+08,,,,,,,,,,12632336,24352.05,22676.2,26657.13,97751,25097.41,27021.61,24164.87,107696,27168.73,148823,71781,25793.01,73275,93257,62315,23343.19,23006.06,108234,59956,25400.64,22897.43,22595.54,26502.72,90761,66819,64708
5819,2230,12570393,4.53E+08,,,,,,,,,,12594810,26379.13,343567,24536.7,24892.92,24857.09,24595.07,22771.49,24659.57,25298.77,95149,26197.99,23563.12,27248.37,68088,23219.7,25610.92,23771.2,23928.52,24105.6,24611.07,65830,77765,23159.4,26035.82,27072.49,27250.66
5820,2230,12570393,4.95E+08,,,,,,,,,,12710435,126709,105577,22936.91,134963,129929,106044,101164,136188,26677.6,115743,144140,148201,123809,137354,26906.4,165071,26131.96,140797,158833,26339.92,160064,116047,157623,177351,138129,170521
5821,2230,12570393,7.29E+08,,,,,,,,,,12670199,457353,374477,418287,24784.36,463541,351421,681374,365142,26722.84,460473,404004,693032,374027,721313,681683,408959,463516,410536,25475.44,669822,25742.73,730035,24810.27,365154,22614.53,515758
5822,2230,12570393,7.53E+08,,,,,,,,,,12559426,242060,155458,216006,234617,204015,122361,26732.27,132883,223718,213432,235543,183399,120179,245662,291284,250487,202058,253741,269359,266753,225498,229915,252215,284985,230223,291381
5823,2231,12574729,7.41E+08,,,,,,,,,,12573833,25850.25,23027.45,26102.59,22622.09,26572.18,26165.75,25253.93,26033.34,25179.29,27090.07,25485.05,26125.9,25737.01,59614,60829,26328.84,24720.12,26178.46,23070.7,24966.38,24924.9,26802.44,53746,26130.52,27398.95,22555.87
5824,2233,12583400,3.06E+08,,,,,,,,,,12508989,87690,26224.15,25087.82,91882,75428,82896,126199,98456,120122,26103.72,111550,23163.7,103762,124825,24952.89,98167,104356,27481.35,127968,95979,27180.13,73856,122141,117585,113238,25521.48
5825,2234,12587708,3.80E+08,,,,,,,,,,12614702,24393.61,26567.48,158486,25489.69,73430,26345.36,80113,26798.62,23873.35,27324.33,26772.78,23323.06,24093.73,64284,23132.83,22513.29,23333.01,23700.94,25341.84,25297.93,24571.3,26468.79,78591,24931.6,25063.32,23932.76
5826,2234,12587708,4.44E+08,,,,,,,,,,12639926,571391,26224.87,27115.78,24351.93,429903,24531.02,25278.33,27207.24,623766,485561,459096,27487.41,473634,27413.03,440267,27459.98,619152,622632,26385.1,22543.9,27435.17,504325,25664.96,24937.74,507443,26554.69
5827,2235,12593879,6.61E+08,,,,,,,,,,12586759,338355,258093,286830,269955,284449,314698,295898,361592,356893,318962,286531,253170,343595,416231,327983,347249,325403,376731,222061,386544,342605,375257,360494,22770.82,371000,356789
5828,2240,12615506,1.21E+08,,,,,,,,,,12635698,96959,84249,85423,76448,74959,85378,60001,84270,87114,85385,68432,97793,83253,98198,86617,72369,82995,86375,24457.5,64618,80462,74906,85259,92910,82163,74948
5829,2241,12619850,5.32E+08,,,,,,,,,,12510444,24319.45,26838.76,27431.09,25999.84,24229.78,25399.88,921786,24578.35,26500.56,25706.72,24361.94,24444.06,24199.01,578194,26505.43,23536.83,26995.45,25125.95,23623.31,742919,604491,23315.15,782315,750870,787091,22826.06
5830,2243,12628475,3.87E+08,,,,,,,,,,12528809,77892,23185.46,24818.49,25163.63,26191.89,62710,26959.94,23554.78,26399.41,27059.03,24835.84,25957.6,55811,60953,24534.48,25626.07,27290.97,54594,62230,69083,68428,24116.87,60235,59388,25448.01,55886
5831,2243,12628475,5.32E+08,,,,,,,,,,12458439,26073.42,24475.43,27254.74,117879,25095.13,174296,22821.22,27312.2,27201.83,26541.7,23529.63,23925.04,26165.26,27205.58,23651.26,25185.79,166937,26689.46,25147.9,27088.61,205328,24260.8,23363.02,26595.09,27085.15,128827
5832,2245,12632783,1.73E+08,,,,,,,,,,12642037,184698,165192,153967,166616,187688,165463,155394,165814,159131,167613,165468,163062,116024,140603,177855,167591,174343,147708,154836,165069,197915,185376,178954,150972,173601,186163
5833,2247,12641420,4.14E+08,,,,,,,,,,12648893,341139,177401,261999,219314,210571,24748.93,23831.04,156531,277920,238745,234834,291965,235839,303560,279214,265831,253329,213197,266443,324077,271591,210781,214550,263752,180500,299584
5834,2248,12645745,1.27E+08,,,,,,,,,,12658958,26129.95,26619.21,22660.55,23201.88,25507.48,25153.09,53340,26193.13,25161.59,26413.07,24765.18,27045.31,26446.33,27147.98,26934.53,22987.46,24399.07,52626,59914,27313.47,22561.44,23387.97,52407,25598.84,59870,24317.37
5835,2248,12645745,1.79E+08,,,,,,,,,,12659042,355084,242665,302122,284556,334410,237047,322048,281563,279297,324940,256763,318987,283786,327697,298219,272347,247714,317600,316937,313216,294835,302985,354629,370537,365460,320037
5836,2248,12645745,4.16E+08,,,,,,,,,,12630879,65378,24736.59,24171.71,51298,62806,27413.29,56265,75090,23773.72,24623.71,25399.36,27237.21,78861,23169.99,26941.97,23043.92,22762.82,25958.15,24186.07,81476,22805.86,27204.67,24759.68,27368.62,25044.53,27026.46
5837,2248,12645745,5.31E+08,,,,,,,,,,12521684,2659810,3534018,27052.6,26860.88,3032779,24767.88,3490460,26582.64,25936.96,22963.07,27203.85,2139745,23234.89,27019.45,1996881,154522,24221.87,22545.22,23748.4,2722539,27128.71,26193.78,2871227,3145731,2871655,2809175
5838,2248,12645745,6.59E+08,,,,,,,,,,12588066,426105,349486,395493,403217,412893,413071,408567,397105,459287,408639,459412,399784,393428,445759,416700,536951,364550,388076,409408,424412,433622,359848,370921,444561,382106,422070
5839,2249,12650050,1.21E+08,,,,,,,,,,12652947,389723,296054,361121,350815,377488,352915,345415,354603,341838,370850,344371,374251,337967,318389,325534,351269,321176,358363,324089,322009,336597,287058,364688,23190.56,333881,345456
5840,2249,12650050,4.15E+08,,,,,,,,,,12582398,357199,234683,178322,234152,250389,276124,224549,175121,230570,250942,240700,202737,23590.06,267482,322378,220757,243609,288995,294486,23097.41,24586.37,237221,257143,280823,252481,247580
5841,2249,12650050,4.43E+08,,,,,,,,,,12606573,2570629,2257949,2394001,25432.86,1919522,2407201,2141800,24531.6,2902932,2215995,2234851,2283281,2470999,2323137,1965621,3302711,2941616,2971272,27092.89,2936643,2466488,3874137,2544068,2514447,26300.61,23697.47
5842,2249,12650050,5.30E+08,,,,,,,,,,12592995,13827729,18068942,23977.15,25352.94,16569798,25306.29,17385432,25284.25,25050.1,15996740,24024.01,25927.59,23094.93,14829439,14546009,27268.18,23881.61,13689471,12964616,14013799,22608.4,23352.94,13965359,15084055,14598639,24554.07
5843,2249,12650050,7.07E+08,,,,,,,,,,12636434,269628960,239106096,234976608,244071920,257705072,252063680,253119424,239877600,230810672,253640304,244709664,254794000,247363424,260183776,118619376,254306128,241822560,255424512,264911888,236655040,245560096,252610960,280857664,264905664,246325472,243142576
5844,2249,12650050,7.08E+08,,,,,,,,,,12636774,96820152,85851280,84067408,87332720,92619984,90790728,90704880,80218216,82967128,90608512,83261408,91105992,88585456,92551488,43032496,90072032,86834048,91673696,95328920,85031232,88696032,90453032,100219224,93997504,87700048,87118224
5845,2249,12650050,7.09E+08,257,5846,0.983189446,,,,,,,12640955,26683516,23523646,23094812,24158556,25150778,24936364,24782038,21849954,22901506,24786640,22696178,25181926,24360242,25677344,23500952,25017604,23815798,25031610,26008418,23364498,24368228,25042544,27591396,25847960,23941448,26299368
5846,2249,12650050,7.10E+08,257,5846,0.999955206,,,,,,,12630967,5387534,4775676,4810101,4977810,5308568,5092136,5039250,4835586,4498740,5114135,4950207,5125627,5013911,5203978,4814743,5183320,4828995,5100285,5343893,4808378,4956773,5012983,5597189,5646779,5100440,5358653
5847,2249,12650050,1.06E+09,257,5846,0.962455772,,,,,,,12639471,28023040,26987998,26429546,27263656,29619724,28403168,27806644,26767966,24723434,27899828,24766504,25348284,26285502,27623630,25048162,26438068,25766728,27389912,28074808,25089930,25697712,26383050,29804344,30093874,27697306,27759030
5848,2249,12650050,1.06E+09,257,5846,0.971302466,,,,,,,12634175,15009152,14559675,14419672,14660901,15777364,15256723,15112115,14440941,13287008,14902511,13427735,14825447,14103943,14981032,13353809,14249418,13736999,14659075,15105112,13529482,13540864,14225241,15847821,16456466,14917683,15119486
5849,2249,12650050,1.06E+09,,,,,,,,,,12639322,5321441,5206380,5132448,5304237,5666276,5504649,5432839,5105234,4908846,5413356,4822238,4816380,5139162,5336437,4785591,5180257,4966611,5403293,5358220,4822390,5014226,5070727,5704709,5924132,5335745,5442013
5850,2249,12650050,1.24E+09,,,,,,,,,,12635242,833005,849996,885588,905412,988582,944746,886329,892638,729001,859561,850829,859129,759027,793174,767794,768184,729492,764322,789551,668437,631760,805279,865505,1052513,855990,714351
5851,2250,12654366,1.91E+08,,,,,,,,,,12635783,28335838,23833880,25583052,26552858,24803328,25294076,26795348,24538830,24776986,26146714,25679918,26651468,25457810,25459378,25228720,26577330,25473190,26368354,27142976,26381420,27413992,25777794,29383156,27973490,28191182,27202174
5852,2250,12654366,3.95E+08,,,,,,,,,,12617643,22889.67,26048.16,50609,24770.12,57350,23446.4,75972,27016.62,66688,26441.23,26830.82,24408.88,26169.35,24724.09,26345.82,27498.31,23764.96,25726.21,66096,63699,27127.92,63566,23984.58,23160.49,22908.32,23406.99
5853,2252,12663043,1.33E+08,,,,,,,,,,12757070,276007,206854,26488.18,216063,190879,225137,220456,218254,225752,228672,227440,22819.66,225586,25256.03,237927,254354,231234,24971.58,264747,247471,23404.71,237386,304613,265661,225696,27436.13
5854,2252,12663043,1.61E+08,,,,,,,,,,12641121,735551,628184,633861,619222,703080,639803,633164,596351,645985,712487,618740,662630,600974,507828,610889,656355,587268,650241,570179,664241,665828,656195,721003,714805,632646,652333
5855,2252,12663043,1.92E+08,,,,,,,,,,12636156,2212044,1917704,2022521,2080276,2080724,1758014,2072022,1964315,1933427,2087420,1980674,2099818,1818823,2033653,1960028,2078415,1947718,2009348,2065007,1873512,2180960,2002006,2350024,2099734,2184600,2086531
5856,2252,12663043,3.07E+08,,,,,,,,,,12563148,524387,388160,435852,422614,391516,533800,418125,419201,441644,424484,413942,428160,426535,407448,396106,475777,454358,397888,445858,460831,470594,423600,410654,438547,400774,423414
5857,2253,12667348,1.92E+08,,,,,,,,,,12603008,24186.32,1271287,1528053,1589616,1713357,23889.26,1496455,22900.84,1420540,1488452,24228.29,25749.3,24969.85,25345.51,22824.46,1528507,1414941,24408.36,1522201,23998.33,1778991,22948.85,1517365,26697.04,26144.37,1454414
5858,2253,12667348,7.30E+08,,,,,,,,,,12763705,134537,138222,24389.68,26177.91,25334.65,25961.01,24381.36,25637.85,26968.49,26254.86,238305,71023,25277.87,133388,245230,26755.63,26687.33,163152,27189.93,236374,25892.82,26451.85,26261.15,22907.69,25572.95,26621.05
5859,2254,12671685,7.51E+08,,,,,,,,,,12690721,182380,160008,76290,131461,75934,115106,23896.72,27340.62,101811,134402,141456,23205.83,139160,148119,187075,181987,157835,191789,25160.49,165184,174342,140936,71060,173729,116338,26073.28
5860,2255,12677708,3.99E+08,,,,,,,,,,12607191,1374829,1926061,1834856,1993084,1977563,1809010,1907260,1509307,1524960,1595108,1568088,1641630,1301759,1406156,1354112,1389192,1312969,1313340,1331644,1328126,1251132,1301198,1180438,1275372,1277658,1479743
5861,2255,12677708,7.52E+08,,,,,,,,,,12687697,64817,64343,23890.73,23157.84,25878.65,75448,25920.74,56455,27082.14,22759.45,24520.37,23868.48,137077,51749,146542,24425.27,25122.62,27224.92,24513.51,162144,22866.43,72027,25205.58,191785,189769,24346.84
5862,2256,12682037,4.21E+08,,,,,,,,,,12632252,27398.49,24515.9,83493,85758,24934.92,65510,24188.33,22640.09,95990,22533.64,24914.64,25113.69,57631,27173.9,52367,83916,23851.96,24582.35,61370,74174,23332.19,63635,23886.46,26428.62,26686.66,22509.83
5863,2256,12682037,5.57E+08,,,,,,,,,,12648169,101436,84719,26592.61,24607.28,23435.51,25579.4,27337.42,23214.81,24075.01,23385.09,25329.74,108679,24897.34,26192.73,25661.2,27007.82,148813,25216.49,26010.64,87396,81557,26784.48,27248.55,27257.71,25994.43,23197.29
5864,2258,12690666,1.81E+08,,,,,,,,,,12301048,26617.51,24255.73,27175.95,59081,230198,76314,63465,22937.25,176226,99826,26748.25,24797.47,24029.52,68551,61134,23604.13,25638.93,56002,26936.03,24263.79,24398.4,26518.43,25557.76,23091.9,24946.7,22794.38
5865,2258,12690666,3.54E+08,,,,,,,,,,13019345,26907.24,25401.38,26108.08,25624.88,47592180,27037.96,22536.72,47381440,27359.23,48387564,26557.08,25992.46,23412.53,48008788,48330888,26057.57,44428012,24808.58,24005.8,46549568,25427.4,46903268,25888.88,78880128,23154.18,27405.15
5866,2258,12690666,3.55E+08,,,,,,,,,,12632913,23691.21,23603.95,26513.09,24290.81,24889.31,27096.73,25120.68,12655347,26337.43,24548.02,27412.43,23396.72,26655.83,25201.84,13076540,27083.52,25333.17,25075.31,26811.56,26984.39,26931.7,25038.89,25263.77,13834330,24895.71,13615751
5867,2258,12690666,4.00E+08,,,,,,,,,,12623333,234369,353498,333893,333142,336623,269162,248959,23898.73,279897,315215,305890,296206,294015,250885,256942,257131,211288,260976,261487,212198,244412,227200,270250,25193.24,278875,254513
5868,2258,12690666,5.31E+08,,,,,,,,,,12562427,27293.03,9967793,24206.38,26121.29,9535493,26681.27,9489483,24508.48,26173.49,23561.25,8416141,24204.25,7227321,26122.69,5427474,23712.99,25438.47,22747.69,6982341,7380649,26308.33,24273.44,7691860,7508340,7860497,8090316
5869,2258,12690666,7.34E+08,,,,,,,,,,12624085,22965.78,132779,26497.72,27251.27,24586.68,24421.51,25694.43,26432.75,23229.33,23715.65,25294.56,27003.59,25515.25,23346.91,79889,124632,24036.02,24419.3,25884.01,82601,27326.77,23819.35,25767.4,26683.64,26339.87,25115.82
5870,2259,12694996,3.08E+08,,,,,,,,,,12613344,194569,142106,132045,110521,127672,127359,154804,141203,157436,113309,124355,148051,25914.37,142879,188401,135163,145839,162779,153285,166827,124827,128265,131271,149149,146527,169302
5871,2259,12694996,1.24E+09,,,,,,,,,,12627232,22793.65,2301724,2335101,2318289,2619042,2462775,26186.85,2206295,2052077,2297074,1969174,2143608,2117442,1738969,2021710,2089694,23055.31,2135102,2154933,1852559,1881647,1901005,2099574,2354000,2178268,2277430
5872,2260,12699296,1.24E+09,,,,,,,,,,12631867,1680760,1967806,1870371,1878434,1998156,1910062,1937570,1829344,1677897,980002,1707271,27132.23,1678627,1757625,1518815,1722558,1583521,1759193,1716074,1501921,1572854,23044.83,1843002,1848013,1789725,1775682
5873,2261,12703606,7.68E+08,,,,,,,,,,12661055,149132,27048.83,26578.73,62581,60329,26015.59,98579,100875,24779.15,145713,26447.54,26843.2,127969,147907,141986,125387,26960.4,25789.02,168582,155480,24431.92,141244,112757,84429,136279,144644
5874,2261,12703606,7.69E+08,,,,,,,,,,12636838,187927,158709,131951,150307,27339.31,141049,191722,141869,168283,83467,160041,165117,107981,217072,231815,179609,186369,236215,25177.5,156728,131614,201030,211347,143158,209775,26047.15
5875,2261,12703606,1.06E+09,,,,,,,,,,12628915,1455295,1480377,1346569,1447011,1488635,1463334,1352822,1279775,1344811,1485565,1267247,1410599,1413709,1444932,1306014,1432858,1359686,1428778,1452243,1317913,1408701,1386009,1569917,1528833,1448439,1536778
5876,2261,12703606,1.24E+09,,,,,,,,,,12641022,1513972,1647820,1666840,1639516,1843969,1744961,1720331,1475385,1442353,1628254,1473651,1602683,1450874,1594926,27401.3,1525915,1366531,1548901,1479254,1308752,1410110,1464009,1563197,1736053,1564380,1415540
5877,2262,12707914,3.98E+08,,,,,,,,,,12607924,63007,24683.93,27128.06,72551,24637.29,24670.02,24870.48,58409,22753.12,25628.44,54410,27190.58,54484,61902,23001.89,23439.79,23727.14,54504,56096,24012.49,80241,27458.8,66376,22915.43,81833,25875.12
5878,2263,12712248,1.77E+08,,,,,,,,,,13107897,102851,23542.14,92144,69874,25345.96,23653.32,27488.41,120828,106620,140430,22526.74,23866.29,60413,25488.64,75780,104661,102887,113601,109960,94965,93743,124233,26370.98,150824,26779.97,92601
5879,2263,12712248,1.24E+09,,,,,,,,,,12640854,321529,355456,361264,377915,407769,388430,374522,367599,314086,405996,290945,364559,24302.38,386066,279065,302045,262094,273955,322175,25287.39,273889,25997.12,335254,415800,367608,389149
5880,2266,12725212,3.69E+08,,,,,,,,,,12648297,656096,613145,536513,451830,540753,555292,547442,594456,591600,562888,460186,636736,537474,612227,26574.22,688271,540879,622609,634521,699364,636895,606968,662057,705301,586518,590698
5881,2266,12725212,3.96E+08,,,,,,,,,,12849752,234758,207130,23781.39,158415,24310.42,235943,221408,191198,221169,23130.83,277762,241501,136182,160873,25966.69,282545,23724.1,22559.93,267360,24129.92,291222,23483.59,242624,209061,221756,25403.73
5882,2267,12729518,3.96E+08,,,,,,,,,,12552382,24637.53,128234,118128,176783,72488,191559,22896.27,25543.01,130023,181607,26516.8,24582.97,218872,25522.15,23790.48,24089.32,220069,210584,26172.9,250115,177820,213289,73567,250359,268764,235494
5883,2267,12729518,5.31E+08,,,,,,,,,,12742597,8120687,11990372,10631995,10710351,11563624,10216503,11547381,9794605,9549299,9781105,10289824,9832957,9095434,8714108,8535676,8581387,8120675,8196477,7885359,9154747,7979071,7705384,9796230,10353618,9569848,9714047
5884,2267,12729518,7.34E+08,,,,,,,,,,12830766,174221,342937,297504,281472,178062,192513,262349,169848,273965,256810,227096,251348,256398,26803.3,260161,265791,219840,244538,254314,135000,258428,155285,26928.37,271487,268295,278846
5885,2269,12738141,7.23E+08,,,,,,,,,,12776698,819882,779310,713756,723001,860357,483054,837445,709098,593888,723342,732790,716263,636972,790414,844457,757275,596729,742873,764944,891377,838885,714802,1000818,1097574,1049351,897908
5886,2269,12738141,1.25E+09,,,,,,,,,,12509106,27054.41,24012.23,23437.22,24159.92,22918.58,27178.39,23324.93,25371.98,62432,25490.65,25907.73,63110,23949.11,25470.77,25177.48,25472.01,56683,57499,25661.01,26021.91,26678.77,23368.81,57786,27460.46,25431.28,26457.99
5887,2270,12742458,7.39E+08,,,,,,,,,,12702506,78015,27455.07,26235.84,24677.45,23051.14,24845.49,52790,25768.68,23910.91,25181.75,25447.62,24549.45,25378.95,25014.17,63529,27076.61,22526.11,26516.96,23083.36,63842,27096.36,25507.5,25136.95,27382.11,25674.54,26044.72
5888,2270,12742458,1.24E+09,,,,,,,,,,12638859,61028,99060,66574,69550,77192,24484.44,92775,79316,81598,93662,51148,68185,26367.9,102827,22828.63,27372.12,72071,24126.2,25469.9,51924,50987,74151,92343,101015,115683,25023.43
5889,2271,12746771,6.62E+08,,,,,,,,,,12641659,26000.81,113155,85063,24237.31,24988.59,65849,22509.81,25681.12,97360,24952.12,136032,68881,137906,118884,26361.16,110778,183942,125500,92420,25184.85,23264.68,102613,70426,132679,96701,206679
5890,2273,12755433,7.50E+08,258,5895,0.952468524,,,,,,,12943406,25050.23,24593.86,27081.55,24841.71,24826.28,24818.54,24241.44,25959.89,23987.68,24683.66,26774.89,26032.74,24122.35,25149.14,24084.08,27013.19,25799.72,25067.14,24806.67,55675,69576,22561.18,26994.92,199159,102236,23191.04
5891,2273,12755433,1.07E+09,,,,,,,,,,12778411,50506,24522.36,26288.03,27020.26,26445.35,23303.32,22759.7,23274.97,51803,82117,24773.62,27160.41,25224.43,24191.81,25401.54,24794.44,24504.29,25531.97,23938.49,23798.59,52465,27247.64,27345.81,22993.78,26974.17,26476.51
5892,2274,12761600,3.68E+08,,,,,,,,,,12614141,23221.86,24475.35,27237.07,26078.72,23518.52,24826.67,23874.24,23713.57,27254.93,26321.95,24924.04,26965.43,25693.82,24438.73,50265,67419,24011.75,24963.91,65677,76912,50908,24222.64,27448.78,23024.9,24505.64,26686.08
5893,2274,12761600,4.15E+08,,,,,,,,,,12874593,225053,120239,23511.97,25806.06,22666.67,66208,26217.22,25243.21,22702.38,22785.77,24595.86,27053.47,27325.81,95457,86975,27133.54,87566,169170,26989.68,25305.5,25461.51,26260.5,23350.87,89306,84390,73141
5894,2274,12761600,7.24E+08,,,,,,,,,,12678345,414551,361509,369556,253031,321240,26500.25,366241,290540,363652,342306,367550,445980,370105,407750,394222,479126,359068,354329,494879,410503,339144,416234,24143.87,453485,434246,445398
5895,2275,12765916,3.53E+08,258,5895,0.999955206,,,,,,,12742190,435770176,415943872,400948192,401110496,416559456,396778912,420624640,391350400,381722848,405849472,404477760,416695392,386889536,395111968,401205824,413486848,367486592,401008512,419866816,401239264,408095392,394654688,480307008,544339392,475377984,425377344
5896,2275,12765916,3.97E+08,,,,,,,,,,12848144,254035,170453,195772,26402.19,236957,267885,249597,242565,282267,248839,23478.45,200245,281721,245289,275420,233376,337754,246599,283563,296975,279638,259418,26115.01,25720.86,182182,278229
5897,2275,12765916,7.25E+08,,,,,,,,,,12649791,197119,117595,164658,151612,116512,106740,147948,187592,140019,112180,103386,219188,26119.69,117045,190530,177264,205982,166700,89659,154466,163320,173936,62374,229513,180774,155964
5898,2276,12770250,3.54E+08,258,5895,0.999701614,,,,,,,12741039,76293480,72632728,69633344,69895360,72539728,69350288,73389816,72084112,66553752,70364336,70680152,72520560,67198488,69088784,70018432,71677688,64946180,69962880,72989264,70164896,71442160,68993136,84607360,96511712,84181224,74389888
5899,2276,12770250,3.55E+08,,,,,,,,,,12752740,13486072,12700562,12127232,12268132,12629643,12065042,12754350,26508.4,11605249,12335061,12384113,12593115,11615567,12362915,26290.39,12591564,11611739,12225088,12952984,12294837,12488566,12173808,14986270,17122582,14972796,12504708
5900,2277,12774585,7.24E+08,,,,,,,,,,12824481,26247.23,23924.24,26124.92,23047.19,170605,241923,153805,105778,22569.31,24980.19,264741,309781,23516.64,26357.06,27297.63,363578,88874,25576.83,26728.06,26559.35,151203,26438.69,279376,258090,235853,268583
5901,2277,12774585,8.84E+08,,,,,,,,,,12712492,22532.11,23221.73,107814,59075,110422,24713.37,92681,51928,60926,99444,23468.11,23407.51,25971.33,55308,27219.43,23662.46,23868.56,27219.54,25219.22,24785.56,23395.84,24095.36,26442.22,26983.23,24699.35,22790.24
5902,2278,12778897,4.65E+08,,,,,,,,,,12845414,104192,108685,26918.25,108957,82183,127934,141150,93690,90454,127893,102672,88015,67173,91007,65686,130710,159044,75051,110265,27368.37,146485,119082,73566,186020,201692,183660
5903,2278,12778897,1.01E+09,,,,,,,,,,12791600,23312.99,26493.31,81509,25663.32,80587,113579,123541,67439,26993.02,25796.67,109399,81037,100245,121386,22940.77,24903.76,24710.25,100256,86884,129863,117863,70928,57791,103047,111159,92987
5904,2279,12783212,9.11E+08,,,,,,,,,,12682039,24440.32,84280,127168,22812.85,23648.75,23310.77,25594.47,25934.75,57044,24671.75,22608.84,23061.01,26897.8,26216.84,26932.66,25761.89,26994.55,24960.86,22636.32,24772.72,24017.97,22533.51,24215.53,24849.61,96403,26566.68
5905,2280,12787558,3.98E+08,,,,,,,,,,12856805,27158.16,27262.44,24232.6,23631.89,25920.13,27271.02,26362.73,25768.15,27483.79,27168.7,23476.47,26025.56,25950.72,25798.21,25427.71,25950.38,24611.17,23931.29,24611.01,25411.16,24273.51,26709.5,52194,76658,62541,23016.86
5906,2280,12787558,8.96E+08,,,,,,,,,,12828900,25946.51,22590.07,106385,22620.49,27149.87,125737,27202.87,24042.32,24748.62,23553.37,106852,23021.05,24069.88,126343,23747.67,24166.41,132449,23081.67,24077.28,27279.83,26829.12,25860.82,23833.17,107184,24213.59,23801.99
5907,2281,12791904,4.33E+08,,,,,,,,,,12828078,119223,23284.12,25697.42,24194.43,71663,24705.56,27329.01,26734.91,27330.97,367167,23890.66,462537,86634,24636.94,26791.77,25776.56,27332.74,23909.67,22568.88,24931.84,26653.69,27116.51,23332.16,25096.86,26077.3,696273
5908,2281,12791904,4.38E+08,,,,,,,,,,12837962,622404,655713,23820.9,550514,584552,568737,26262.55,560498,22618.98,565955,603610,599200,618831,22873.6,541960,599058,637484,616673,631068,26884.98,622305,675748,724309,780493,780871,704258
