peak#,scan,retention,mass,clusterId,centrotype,membership,clusterId,centrotype,membership,clusterId,centrotype,membership,retentionMean,Qe05965,Qe05948,Qe05949,Qe05950,Qe05951,Qe05952,Qe05953,Qe05954,Qe05955,Qe05956,Qe05957,Qe05958,Qe05959,Qe05960,Qe05961,Qe05962,Qe05963,Qe05964,Qe05966,Qe05967,Qe05968,Qe05969,Qe05970,Qe05971,Qe05972,Qe05973
49,197,1325292,1.31E+08,,,,,,,,,,1312492,23835.19,85363,83332,25205.02,25139.87,68227,67560,23231.03,25427.63,24250.63,25840.88,26654.53,24787.7,27413.76,56834,25218.71,22764.24,25898.21,26870.44,25684.42,25409.06,24256.5,24068.01,23376.15,24622.54,24927.19
50,197,1325292,1.48E+08,,,,,,,,,,1275088,25847.99,23787.69,27148.18,25647.73,24090.81,25672.34,27072.25,23299.77,75107,71578,24905.28,24766.53,26860.29,26956.6,71846,25822.85,27240.5,27009.98,24031.74,24844.44,24794.03,23118.33,23701.81,25233.02,26246.95,22555.89
51,197,1325292,2.29E+08,,,,,,,,,,1310264,27417.52,146834,119623,23915.36,23884.21,25312.82,128639,25315.74,23798.04,26685.84,24423.12,128374,26276.82,129937,127992,25659.49,22646.3,24558.15,26570.03,27147.73,25839.66,22849.5,26482.91,127869,126940,24752.18
52,197,1325292,2.36E+08,,,,,,,,,,1299346,413940,878607,240840,731684,720081,663275,679167,670865,655646,652920,432847,615393,607986,602961,584969,568556,554146,366753,524078,538242,550164,524507,364494,521206,513511,416216
53,198,1332134,1.47E+08,,,,,,,,,,1321184,179655,177162,162561,196323,186811,203483,185755,183997,177495,184039,190692,182450,184379,25444.47,179473,115176,183281,181275,179453,158004,205386,188045,193591,192737,179279,155111
54,198,1332134,1.91E+08,,,,,,,,,,1317335,26630.17,398533,376038,393285,426915,422101,408989,385691,24597.59,27008.74,395563,27418.48,372039,26864.2,387785,383920,358754,372322,363768,319509,350709,360058,26829.45,356674,24063.63,304553
55,198,1332134,2.08E+08,1,48,0.971702228,,,,,,,1290107,302960,479848,423372,413339,402746,375126,378395,380872,374359,364376,364148,346904,342580,341676,331390,327385,315463,323353,301734,300444,262690,301564,298834,286462,286525,283432
56,198,1332134,2.41E+08,,,,,,,,,,1307092,25402.41,353874,339830,412638,370342,366745,26085.48,353631,357816,353587,390949,26776.41,349574,370506,336642,344043,338935,25708.92,26755.2,294914,355979,359784,367174,25870.98,322181,283204
57,200,1349592,9.70E+07,,,,,,,,,,1298752,59789,160467,147691,152323,148660,76149,138904,147746,62689,141595,139058,138317,141179,132130,138139,65552,138347,133067,63774,131625,128581,128778,125847,122759,135054,128486
58,200,1349592,1.25E+08,,,,,,,,,,1265817,22632.49,70422,74707,23534.37,26114.5,25967.63,24004.4,26627.11,23774.38,26405.88,22569.72,22898.07,24111.19,23881.16,27203.36,25175.81,25579.71,27340.01,61716,90819,23728.57,24796.45,24474.21,25761.02,24674.59,24880.66
