clusterId1,centrotype,cent.factor,nr of peaks in cluster,chosen peak#,Scan Nr,retention,retentionMean,Mass(uD),membership1,simIsShared,sim ranking of peak,max sample name,max value,QUANT_START,Qe05965,Qe05948,Qe05949,Qe05950,Qe05951,Qe05952,Qe05953,Qe05954,Qe05955,Qe05956,Qe05957,Qe05958,Qe05959,Qe05960,Qe05961,Qe05962,Qe05963,Qe05964,Qe05966,Qe05967,Qe05968,Qe05969,Qe05970,Qe05971,Qe05972,Qe05973,QUANT_END,mass list,(relative)intensity list
41,1853,1,30,1851,318,1886011,1879923,812267334,0.999924,FALSE,2,Qe05961,5215571,>>,1994743,1310927,2167895,4808363,959593,1909079,1623152,4804197,232293,823741,1985426,1370738,4051163,1957342,5215571,1270657,4745953,2512244,168198,553497,5071152,341807,1544453,1981207,1372126,1496906,<<,8.12267334E8;7.11218994E8;4.03148132E8;8.13270081E8;7.12222656E8;8.14273621E8;8.50221619E8;5.62198059E8;4.04151642E8;1.03059105E8;9.49315735E8;4.61147705E8;1.154383423E9;7.46264709E8;8.51225647E8;9.82278503E8;9.9727655E8;6.66215515E8;1.035233276E9;9.07313965E8;1.19233667E9;1.155385742E9;1.069368652E9;1.40011566E8;4.82127106E8;5.63200623E8;9.83277649E8;9.74320007E8;8.5222522E8;7.0119104E8;,999.0;688.37;561.34;330.11;218.31;106.26;105.58;99.81;85.66;61.61;59.09;51.15;48.07;44.01;35.85;31.29;29.28;28.4;28.28;24.54;24.29;24.08;22.79;22.68;19.48;17.8;16.94;16.59;15.15;14.49;
42,1832,1,18,1832,318,1886011,1881270,293098602,0.999955,FALSE,1,Qe05960,4.72E+07,>>,5841573,6251116,5850461,1833828,7454309,2637123,8755051,1933005,1.06E+07,3642409,6216559,1.26E+07,1593276,4.72E+07,2330944,1.17E+07,1955545,8045733,1.49E+07,3911182,2372915,5484179,1225043,6234699,7316413,7989235,<<,2.93098602E8;6.35214233E8;2.66087463E8;2.94101715E8;6.08203369E8;4.40151611E8;6.3720874E8;9.59324463E8;4.78107117E8;2.67091644E8;3.07113953E8;4.26134399E8;5.6019342E8;4.55151306E8;4.13140717E8;4.25147949E8;4.41156342E8;5.77196289E8;,999.0;325.71;206.47;106.53;70.75;42.44;21.44;21.39;19.59;18.66;18.5;15.15;9.66;8.41;6.66;6.5;5.38;3.06;
43,1861,1,33,1896,321,1899094,1895345,132029953,0.986081,FALSE,1,Qe05966,7.40E+07,>>,3.30E+07,2.25E+07,1.17E+07,2.70E+07,4.29E+07,3.31E+07,2.28E+07,1.99E+07,5.43E+07,4.49E+07,3.67E+07,2.38E+07,1.94E+07,2.63E+07,2.51E+07,4.22E+07,1.93E+07,1.85E+07,7.40E+07,3.24E+07,2.21E+07,4.70E+07,4.02E+07,3.15E+07,3.28E+07,1.89E+07,<<,1.32029953E8;2.31098236E8;2.45113861E8;1.18050774E8;1.87108444E8;2.03103439E8;1.33033279E8;2.32102356E8;2.46118027E8;1.64038483E8;2.36077255E8;5.03160034E8;2.61072113E8;1.15003456E8;3.67171997E8;4.07165771E8;3.04114899E8;5.7421582E8;1.88111954E8;3.19161255E8;2.47056808E8;3.27111633E8;1.19054047E8;4.16107483E8;3.97181976E8;3.18093018E8;2.6012442E8;3.48103943E8;3.64172089E8;7.49283936E8;4.31188354E8;4.21085388E8;2.06066803E8;,999.0;344.78;204.09;107.83;61.57;60.84;36.61;32.35;19.55;17.79;13.18;13.11;12.61;11.66;11.5;7.87;7.77;6.04;5.74;5.61;5.34;5.16;4.57;4.04;3.57;3.45;3.37;3.28;2.71;2.27;2.12;1.77;1.61;
45,2055,1,15,2002,325,1916526,1909060,488160980,0.99184,FALSE,1,Qe05967,6.64E+07,>>,4.52E+07,5.39E+07,4.43E+07,5.92E+07,3.59E+07,5.16E+07,3.00E+07,6.08E+07,3.96E+07,5.12E+07,4.06E+07,2.73E+07,5.25E+07,3.01E+07,6.60E+07,3.47E+07,5.97E+07,4.00E+07,4.55E+07,6.64E+07,6.27E+07,5.28E+07,2.04E+07,2.41E+07,2.09E+07,5.98E+07,<<,4.8816098E8;4.89164246E8;6.25208557E8;4.90166779E8;8.30277283E8;6.26211548E8;8.31281189E8;9.68328125E8;1.309440796E9;1.172394165E9;9.92332886E8;8.32282288E8;1.310441772E9;1.173394531E9;1.005278809E9;,999.0;194.35;67.43;51.47;32.79;18.91;10.9;8.94;4.77;4.29;3.47;3.21;2.13;1.89;1.88;
47,2048,1,6,1984,324,1912174,1903120,772263611,0.989121,FALSE,1,Qe05960,1587576,>>,364669,411179,402803,171295,401751,184689,434983,117428,538751,260714,320374,676159,110034,1587576,158716,491280,145657,452228,687258,360024,160638,362823,305072,380561,450025,599691,<<,7.72263611E8;1.114376831E9;9.09308289E8;1.115372925E9;4.31154205E8;7.74258606E8;,999.0;238.68;167.32;128.26;115.31;72.71;
48,2092,1,18,2090,328,1930567,1923245,460166626,0.972305,FALSE,1,Qe05967,8746106,>>,4256488,5615803,3593325,1164923,5911218,4685147,3528585,1586425,5622601,6109275,3795622,3401747,1482624,1865420,1351234,4929797,1335946,2257253,6505802,8746106,1564277,6521915,2824460,3080670,2482936,5788606,<<,4.60166626E8;5.06153168E8;3.00129852E8;5.87229675E8;5.73213257E8;3.14109253E8;4.61171631E8;6.22218506E8;3.08097961E8;5.16210022E8;3.53154968E8;5.9721344E8;3.55172333E8;8.02281067E8;2.55098206E8;6.2322406E8;6.52255981E8;6.43200867E8;,999.0;247.62;236.21;199.11;194.9;194.79;174.6;149.83;97.34;85.62;78.29;77.28;68.63;61.95;54.1;49.63;18.68;16.16;
49,2179,1,22,2206,335,1960913,1957710,524161072,0.963285,FALSE,1,Qe05970,3.51E+07,>>,3.03E+07,3.32E+07,3.49E+07,2.94E+07,3.02E+07,3.00E+07,3.44E+07,3.04E+07,2.86E+07,2.89E+07,3.07E+07,3.26E+07,2.93E+07,3.18E+07,3.00E+07,3.11E+07,3.01E+07,3.12E+07,2.59E+07,3.05E+07,3.14E+07,2.81E+07,3.51E+07,3.37E+07,3.41E+07,3.22E+07,<<,5.24161072E8;1.8204541E8;5.25164307E8;6.61208923E8;1.38055695E8;3.19092499E8;1.83048752E8;6.62212585E8;6.15203186E8;1.141376221E9;4.56139618E8;3.59117828E8;1.277424072E9;3.20096497E8;9.35310669E8;6.63215088E8;1.142381592E9;1.278422119E9;5.93186096E8;9.36309753E8;4.57144165E8;1.279424438E9;,999.0;526.25;215.87;104.33;99.23;56.06;47.48;32.9;23.48;20.11;14.7;12.15;9.26;7.84;7.81;6.19;6.13;4.49;3.46;2.77;2.21;1.65;
54,2292,1,20,2326,350,2027599,2017119,458187378,0.966179,FALSE,1,Qe05967,6806180,>>,3861097,5158066,3567688,1990820,4687478,4314337,2614814,2690897,5470928,5502396,3313138,2583895,2588510,2235535,1723639,4148918,2238375,2299894,5485263,6806180,2263589,5610304,2610259,2329009,1812171,4683720,<<,4.58187378E8;5.7325116E8;2.31134247E8;2.1711882E8;4.59191711E8;3.16150024E8;6.30270569E8;2.88155701E8;5.74251953E8;5.60236389E8;3.97182983E8;4.11196198E8;2.58144745E8;2.63070404E8;3.02134857E8;5.88231567E8;4.13211914E8;3.99195862E8;5.61240723E8;6.01264465E8;,999.0;426.08;295.73;267.99;203.43;148.86;128.19;111.43;108.66;107.16;97.63;88.89;82.05;77.45;70.9;67.9;39.37;37.79;27.64;20.87;
55,2319,1,6,2318,349,2023282,2007679,729229431,0.999953,FALSE,1,Qe05954,5.14E+07,>>,4.29E+07,4.37E+07,4.03E+07,4.93E+07,3.96E+07,4.64E+07,4.01E+07,5.14E+07,4.06E+07,4.55E+07,4.39E+07,3.67E+07,4.70E+07,3.79E+07,4.53E+07,3.94E+07,4.42E+07,4.33E+07,3.69E+07,4.37E+07,4.49E+07,4.62E+07,3.11E+07,2.87E+07,3.04E+07,4.03E+07,<<,7.29229431E8;7.30232544E8;1.025339722E9;3.77085144E8;1.027344482E9;4.0410495E8;,999.0;285.47;181.28;34.99;25.95;13.55;
56,2371,0.980833,4,2393,356,2049226,2059256,311096375,0.952556,FALSE,1,Qe05972,309951,>>,26079.94,24685.06,22533.31,25208.36,23366.9,24002.94,22681.82,24474.56,23045.31,25053.63,23768.68,24423.75,69973,23699.99,25665.3,24774.71,24047.6,25757.3,25833.95,26864.17,25704.72,26665.99,217771,308514,309951,23548.11,<<,3.11096375E8;2.2008226E8;4.05125183E8;5.82194275E8;,999.0;813.31;252.25;167.88;
